repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600656,4.0537661338434796e-13,1.0000000000000002
1,1,-39.587783846039748,1.896569071027955e-13,0.99999999999999833
1,2,-39.530151400183044,2.5607006412809675e-13,1.0000000000000022
1,3,-39.530151400183009,2.8068196831167652e-13,1.0000000000000018
1,4,-39.53015140018298,2.0738264407930357e-13,1.0000000000000022
1,5,-39.412585414388644,4.996777497176133e-13,0.99999999999999367
1,6,-39.412585414388644,1.8803968476485823e-13,0.99999999999999811
1,7,-39.40252430752777,3.0856281960563732e-13,1.0000000000000011
1,8,-39.402524307527734,2.1821617299133296e-13,0.99999999999999722
1,9,-39.402524307527692,1.2374353512662203e-13,0.999999999999998
1,10,-39.376663783891743,4.3631825861245419e-13,0.99999999999999822
1,11,-39.376663783891694,3.5272943339224968e-13,0.999999999999997
1,12,-39.376663783891658,4.6370530088952295e-13,1.000000000000004
1,13,-39.367701470295529,2.3820641101403067e-13,1.000000000000002
1,14,-39.367701470295422,3.001220501109657e-13,1.0000000000000029
1,15,-39.364323150450097,4.4633621094398096e-13,1.0000000000000033
1,16,-39.364323150450069,4.1022066361342122e-13,0.99999999999999789
1,17,-39.364323150449991,1.5660160239508046e-13,0.99999999999999889
1,18,-39.312786707793343,8.15038109491828e-14,0.99999999999999944
1,19,-39.312786707793329,2.224308069100656e-13,1.0000000000000002
1,20,-39.312786707793201,3.1554344915083065e-13,1.0000000000000004
1,21,-39.290219883813222,1.1346600367185903e-13,0.99999999999999678
1,22,-39.290219883813137,1.0396304282534206e-13,0.99999999999999889
1,23,-39.290219883813094,6.9091906657260324e-14,1
1,24,-39.176458439526094,4.3021423874624217e-13,1.0000000000000071
1,25,-39.059902131173523,7.0590766392021139e-14,1.0000000000000002
1,26,-39.059902131173459,7.6741659774032221e-14,1
1,27,-39.059902131173395,1.0046274839647948e-13,1.0000000000000024
1,28,-39.023899884567165,4.8381642917063082e-13,1.0000000000000053
1,29,-39.013014208761071,2.0836746726875722e-13,0.99999999999999734
