davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,gap28_29,relative_gap28_29,cluster_residual_fro_before,cluster_residual_fro_after,cluster_residual_max_before,cluster_residual_max_after,ritz_overlap_28_28,ritz_overlap_28_29,ritz_overlap_29_28,ritz_overlap_29_29,ritz_overlap_swap_detected,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count
1,29,0.0014729263593369431,8.3348048445053933e-05,1,35,8.3348048445053933e-05,29,4.5464153531311784e-12,8.3348048445053933e-05,1.4432899320127035e-14,0,1,1,8.3348048445053933e-05,4.5464153531311784e-12,8.3348048445053933e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.013199726399257372,0.00033824723921243693,0.0010415162168755634,5.8935970254162357e-05,0.0014729263593369413,8.3348048445053798e-05,1.0000000000000107,1.6947834304735867e-10,1.6851611587124743e-10,0.99922235691343808,0,active,active,0,0
1,28,1.5140974557473284e-11,4.5464153531311784e-12,1,35,8.3348048445053933e-05,29,4.5464153531311784e-12,8.3348048445053933e-05,1.4432899320127035e-14,0,1,1,8.3348048445053933e-05,4.5464153531311784e-12,8.3348048445053933e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0,0.013199726399257372,0.00033824723921243693,0.0010415162168755634,5.8935970254162357e-05,0.0014729263593369413,8.3348048445053798e-05,1.0000000000000107,1.6947834304735867e-10,1.6851611587124743e-10,0.99922235691343808,0,active,active,0,0
2,29,8.3348048445053933e-05,3.1743812184874196e-05,1,37,3.1743812184874196e-05,29,3.1853236770055783e-12,3.1743812184874196e-05,1.5876189252139739e-14,0,1,2,3.1743812184874196e-05,3.1853236770055783e-12,3.1743812184874196e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.010899048819517532,0.00027929163542744236,5.8935970254162357e-05,2.2446264856636943e-05,8.3348048445053798e-05,3.1743812184874494e-05,1.0000000000000135,1.669583943549318e-11,1.6066559136613686e-11,0.99998682918108983,0,active,active,0,0
2,28,4.5464153531311784e-12,3.1853236770055783e-12,1,37,3.1743812184874196e-05,29,3.1853236770055783e-12,3.1743812184874196e-05,1.5876189252139739e-14,0,1,2,3.1743812184874196e-05,3.1853236770055783e-12,3.1743812184874196e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0,0.010899048819517532,0.00027929163542744236,5.8935970254162357e-05,2.2446264856636943e-05,8.3348048445053798e-05,3.1743812184874494e-05,1.0000000000000135,1.669583943549318e-11,1.6066559136613686e-11,0.99998682918108983,0,active,active,0,0
3,29,3.1743812184874196e-05,1.8753894446542272e-05,1,39,1.8753894446542272e-05,29,2.7943303207374249e-12,1.8753894446542272e-05,1.532107773982716e-14,0,1,3,1.8753894446542272e-05,2.7943303207374249e-12,1.8753894446542272e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.010888463571546936,0.00027902038503981036,2.2446264856636943e-05,1.3261005936805481e-05,3.1743812184874494e-05,1.8753894446540293e-05,1.0000000000000158,6.1153745144297532e-12,5.880763243932368e-12,0.99999841798579803,0,active,active,0,0
3,28,3.1853236770055783e-12,2.7943303207374249e-12,1,39,1.8753894446542272e-05,29,2.7943303207374249e-12,1.8753894446542272e-05,1.532107773982716e-14,0,1,3,1.8753894446542272e-05,2.7943303207374249e-12,1.8753894446542272e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0,0.010888463571546936,0.00027902038503981036,2.2446264856636943e-05,1.3261005936805481e-05,3.1743812184874494e-05,1.8753894446540293e-05,1.0000000000000158,6.1153745144297532e-12,5.880763243932368e-12,0.99999841798579803,0,active,active,0,0
4,29,1.8753894446542272e-05,1.3651333654957985e-05,1,41,1.3651333654957985e-05,29,2.3053604314305744e-12,1.3651333654957985e-05,1.5987211554602254e-14,0,1,4,1.3651333654957985e-05,2.3053604314305744e-12,1.3651333654957985e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.010887000829910676,0.00027898290181438732,1.3261005936805481e-05,9.6529505996606296e-06,1.8753894446540293e-05,1.3651333654957394e-05,1.0000000000000175,2.1793646570298554e-12,2.0884588409263545e-12,0.99999893317447963,0,active,active,0,0
4,28,2.7943303207374249e-12,2.3053604314305744e-12,1,41,1.3651333654957985e-05,29,2.3053604314305744e-12,1.3651333654957985e-05,1.5987211554602254e-14,0,1,4,1.3651333654957985e-05,2.3053604314305744e-12,1.3651333654957985e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0,0.010887000829910676,0.00027898290181438732,1.3261005936805481e-05,9.6529505996606296e-06,1.8753894446540293e-05,1.3651333654957394e-05,1.0000000000000175,2.1793646570298554e-12,2.0884588409263545e-12,0.99999893317447963,0,active,active,0,0
5,29,1.3651333654957985e-05,1.0974446943057427e-05,1,43,1.0974446943057427e-05,29,2.5765628255700172e-12,1.0974446943057427e-05,1.5543122344752192e-14,0,1,5,1.0974446943057427e-05,2.3053604314305744e-12,1.0974446943057427e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010886387714485579,0.00027896719053420004,9.6529505996606296e-06,7.760105853208213e-06,1.3651333654957394e-05,1.097444694305763e-05,1.0000000000000133,3.1711143763631394e-12,2.9839453152816886e-12,0.9999993335876074,0,active,active,0,0
5,28,2.3053604314305744e-12,2.5765628255700172e-12,1,43,1.0974446943057427e-05,29,2.5765628255700172e-12,1.0974446943057427e-05,1.5543122344752192e-14,0,1,5,1.0974446943057427e-05,2.3053604314305744e-12,1.0974446943057427e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0,0.010886387714485579,0.00027896719053420004,9.6529505996606296e-06,7.760105853208213e-06,1.3651333654957394e-05,1.097444694305763e-05,1.0000000000000133,3.1711143763631394e-12,2.9839453152816886e-12,0.9999993335876074,0,active,active,0,0
6,29,1.0974446943057427e-05,7.4966999991988455e-06,1,45,7.4966999991988455e-06,29,1.5726159184703775e-12,7.4966999991988455e-06,1.4210854715202004e-14,0,1,6,7.4966999991988455e-06,1.5726159184703775e-12,7.4966999991988455e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,6,0,12,0,0.010886036409736732,0.00027895818823689248,7.760105853208213e-06,5.3009674059552109e-06,1.097444694305763e-05,7.4966999991994443e-06,1.000000000000014,3.9113213805457843e-12,3.5075785765742037e-12,0.99999921746285736,0,active,active,0,0
6,28,2.5765628255700172e-12,1.5726159184703775e-12,1,45,7.4966999991988455e-06,29,1.5726159184703775e-12,7.4966999991988455e-06,1.4210854715202004e-14,0,1,6,7.4966999991988455e-06,1.5726159184703775e-12,7.4966999991988455e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,6,0,12,0,0.010886036409736732,0.00027895818823689248,7.760105853208213e-06,5.3009674059552109e-06,1.097444694305763e-05,7.4966999991994443e-06,1.000000000000014,3.9113213805457843e-12,3.5075785765742037e-12,0.99999921746285736,0,active,active,0,0
7,29,7.4966999991988455e-06,5.156884386715745e-06,1,47,5.156884386715745e-06,29,1.190875093644581e-12,5.156884386715745e-06,1.6875389974302379e-14,0,1,7,5.156884386715745e-06,1.190875093644581e-12,5.156884386715745e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,7,0,12,0,0.010885832352933278,0.00027895295921559948,5.3009674059552109e-06,3.6464679196410069e-06,7.4966999991994443e-06,5.1568843867145989e-06,1.0000000000000147,7.6192424827246669e-13,6.5879641351579751e-13,0.99999975329192281,0,active,active,0,0
7,28,1.5726159184703775e-12,1.190875093644581e-12,1,47,5.156884386715745e-06,29,1.190875093644581e-12,5.156884386715745e-06,1.6875389974302379e-14,0,1,7,5.156884386715745e-06,1.190875093644581e-12,5.156884386715745e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,7,0,12,0,0.010885832352933278,0.00027895295921559948,5.3009674059552109e-06,3.6464679196410069e-06,7.4966999991994443e-06,5.1568843867145989e-06,1.0000000000000147,7.6192424827246669e-13,6.5879641351579751e-13,0.99999975329192281,0,active,active,0,0
8,29,5.156884386715745e-06,3.4192662249152664e-06,1,49,3.4192662249152664e-06,29,9.4434757186799625e-13,3.4192662249152664e-06,1.7319479184152442e-14,0,1,8,3.4192662249152664e-06,9.4434757186799625e-13,3.4192662249152664e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,8,0,12,0,0.010885744819553622,0.00027895071614456041,3.6464679196410069e-06,2.4177863343183973e-06,5.1568843867145989e-06,3.4192662249132878e-06,1.0000000000000167,1.3503625018005831e-12,1.2579308354389595e-12,0.99999981506784141,0,active,active,0,0
8,28,1.190875093644581e-12,9.4434757186799625e-13,1,49,3.4192662249152664e-06,29,9.4434757186799625e-13,3.4192662249152664e-06,1.7319479184152442e-14,0,1,8,3.4192662249152664e-06,9.4434757186799625e-13,3.4192662249152664e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,8,0,12,0,0.010885744819553622,0.00027895071614456041,3.6464679196410069e-06,2.4177863343183973e-06,5.1568843867145989e-06,3.4192662249132878e-06,1.0000000000000167,1.3503625018005831e-12,1.2579308354389595e-12,0.99999981506784141,0,active,active,0,0
