davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.0014729263593369431,1,0,0,0,0,0,0.079833450339362094,0.078651896785997558
1,28,1.5140974557473284e-11,1,0,0,0,0,0,6.8556260095001741e-10,6.4976262325420135e-10
2,29,8.3348048445053933e-05,1,0,0,0,0,0,0.013443798825459563,0.01022517322454842
2,28,4.5464153531311784e-12,1,0,0,0,0,0,2.2416019234239672e-10,2.103762249811245e-10
3,29,3.1743812184874196e-05,1,0,0,0,0,0,0.0015683968042865628,0.0013778656488219892
3,28,3.1853236770055783e-12,1,0,0,0,0,0,1.7418550393397298e-10,1.3336375589570055e-10
4,29,1.8753894446542272e-05,1,0,0,0,0,0,0.001409413335699921,0.0011561480741323765
4,28,2.7943303207374249e-12,1,0,0,0,0,0,2.0597433120009919e-10,1.0176562707853663e-10
5,29,1.3651333654957985e-05,1,0,0,0,0,0,0.0010319730057471348,0.00066939696470486975
5,28,2.3053604314305744e-12,1,0,0,0,0,0,1.5395496537838817e-10,7.9788560757828652e-11
6,29,1.0974446943057427e-05,1,0,0,0,0,0,0.00054216476917229902,0.00040321155281119927
6,28,2.5765628255700172e-12,1,0,0,0,0,0,1.0581709836238979e-10,6.3675231790371153e-11
7,29,7.4966999991988455e-06,1,0,0,0,0,0,0.00028940676750673154,0.00025990950644680215
7,28,1.5726159184703775e-12,1,0,0,0,0,0,6.8007137297235541e-11,5.2883241299328384e-11
8,29,5.156884386715745e-06,1,0,0,0,0,0,0.00026792600941789494,0.00020612279425850807
8,28,1.190875093644581e-12,1,0,0,0,0,0,7.9116970956896197e-11,4.1301064936551243e-11
9,29,3.4192662249152664e-06,1,0,0,0,0,0,0.00022861384423874588,0.00014620037953390488
9,28,9.4434757186799625e-13,1,0,0,0,0,0,6.7751419118131056e-11,2.700177592835721e-11
10,29,2.2428526060969692e-06,1,0,0,0,0,0,0.00010677927191938706,6.8519535453212909e-05
10,28,6.6829660283942614e-13,1,0,0,0,0,0,4.3942598400866013e-11,2.001124005294223e-11
11,29,1.7141183449136384e-06,1,0,0,0,0,0,7.9379378140283192e-05,5.4931271382756409e-05
11,28,5.9749161949834464e-13,1,0,0,0,0,0,2.3114077238171393e-11,1.404993503945542e-11
12,29,1.1946528038403257e-06,1,0,0,0,0,0,5.955344858951487e-05,4.8835060414678315e-05
12,28,3.2620666557834404e-13,1,0,0,0,0,0,2.5208935294118796e-11,1.5455159871315792e-11
13,29,6.8236753049988155e-07,1,0,0,0,0,0,3.2248129486299057e-05,2.632862095789375e-05
13,28,2.113220401292486e-13,1,0,0,0,0,0,1.0808925252829485e-11,7.6450926673176304e-12
14,29,4.5607398315232795e-07,1,0,0,0,0,0,2.9272266888580402e-05,2.0180475938397075e-05
14,26,1.4849810475646564e-13,1,0,0,0,0,0,9.3944168854431024e-12,9.130570471910019e-12
15,29,2.9475958029941306e-07,1,0,0,0,0,0,1.9347985085454902e-05,1.3861552106812425e-05
15,27,1.4933934218527808e-13,1,0,0,0,0,0,1.0288625480920603e-11,9.8727241584970508e-12
16,29,2.1040042863856021e-07,1,0,0,0,0,0,1.3471958776862853e-05,1.0509190268329582e-05
16,28,1.2009222470753232e-13,1,0,0,0,0,0,1.1236506255373474e-11,7.7946571192068735e-12
17,29,1.5981502761519873e-07,1,0,0,0,0,0,1.0841253896058322e-05,7.3067709409088775e-06
17,28,1.1216435566230421e-13,1,0,0,0,0,0,5.904542961152229e-12,4.1371273389832886e-12
18,29,1.3601478193483468e-07,1,0,0,0,0,0,8.5023329590816071e-06,5.416970998504099e-06
18,28,9.6402880648529401e-14,0,0,1,0,0,0,0,0
18,1,7.4366413073290427e-14,0,0,1,0,0,0,0,0
18,26,6.5737160609557201e-14,0,0,1,0,0,0,0,0
18,24,6.4940355604067554e-14,0,0,1,0,0,0,0,0
18,27,4.755518586122683e-14,0,0,1,0,0,0,0,0
18,25,4.6346291999403973e-14,0,0,1,0,0,0,0,0
18,5,2.92978565757261e-14,0,0,1,0,0,0,0,0
18,9,2.8758656380211195e-14,0,0,1,0,0,0,0,0
18,13,2.5336196440872943e-14,0,0,1,0,0,0,0,0
18,6,2.3725639248939706e-14,0,0,1,0,0,0,0,0
18,14,2.3110715494242577e-14,0,0,1,0,0,0,0,0
18,11,2.2932080133761632e-14,0,0,1,0,0,0,0,0
18,7,2.1057274674923054e-14,0,0,1,0,0,0,0,0
18,8,2.079109574620252e-14,0,0,1,0,0,0,0,0
18,23,1.9645532078181881e-14,0,0,1,0,0,0,0,0
18,10,1.9387375029989143e-14,0,0,1,0,0,0,0,0
18,3,1.8089147580952197e-14,0,0,1,0,0,0,0,0
18,4,1.808137230395513e-14,0,0,1,0,0,0,0,0
18,16,1.7692624077334719e-14,0,0,1,0,0,0,0,0
18,12,1.6996470625633743e-14,0,0,1,0,0,0,0,0
18,17,1.6868308736683301e-14,0,0,1,0,0,0,0,0
18,21,1.6437194845680964e-14,0,0,1,0,0,0,0,0
18,15,1.4742937825928545e-14,0,0,1,0,0,0,0,0
18,2,1.4648521689893881e-14,0,0,1,0,0,0,0,0
18,22,1.3060901763665741e-14,0,0,1,0,0,0,0,0
18,19,1.2378205083419906e-14,0,0,1,0,0,0,0,0
18,20,1.1445675511636366e-14,0,0,1,0,0,0,0,0
18,18,1.0914779092419986e-14,0,0,1,0,0,0,0,0
18,0,4.6302250001090178e-16,0,0,1,0,0,0,0,0
19,29,1.0601552361123521e-07,1,0,0,0,0,0,4.9812237754338988e-06,3.7942651091294285e-06
19,28,9.668823437775876e-14,0,0,1,0,0,0,0,0
19,1,7.4449097690155315e-14,0,0,1,0,0,0,0,0
19,26,6.5208466649885329e-14,0,0,1,0,0,0,0,0
19,24,6.4663350430152727e-14,0,0,1,0,0,0,0,0
19,27,4.7702450690711982e-14,0,0,1,0,0,0,0,0
19,25,4.6893001677441432e-14,0,0,1,0,0,0,0,0
19,5,2.9286595767657083e-14,0,0,1,0,0,0,0,0
19,9,2.8270162174326037e-14,0,0,1,0,0,0,0,0
19,13,2.5453094043340602e-14,0,0,1,0,0,0,0,0
19,6,2.3655158803454757e-14,0,0,1,0,0,0,0,0
19,7,2.3330896691865499e-14,0,0,1,0,0,0,0,0
19,14,2.3082074800585748e-14,0,0,1,0,0,0,0,0
19,11,2.2499576740272024e-14,0,0,1,0,0,0,0,0
19,23,2.003781439573688e-14,0,0,1,0,0,0,0,0
19,10,1.9994631352444257e-14,0,0,1,0,0,0,0,0
19,8,1.9016246356756353e-14,0,0,1,0,0,0,0,0
19,15,1.8978710973458551e-14,0,0,1,0,0,0,0,0
19,3,1.8632251121127295e-14,0,0,1,0,0,0,0,0
19,17,1.7688339696150962e-14,0,0,1,0,0,0,0,0
19,4,1.7057783538552289e-14,0,0,1,0,0,0,0,0
19,12,1.7021363900027585e-14,0,0,1,0,0,0,0,0
19,21,1.6005491180995836e-14,0,0,1,0,0,0,0,0
19,2,1.5158067395360402e-14,0,0,1,0,0,0,0,0
19,22,1.305776801023608e-14,0,0,1,0,0,0,0,0
19,18,1.2797299699743978e-14,0,0,1,0,0,0,0,0
19,16,1.1477024022556056e-14,0,0,1,0,0,0,0,0
19,20,1.121919988856559e-14,0,0,1,0,0,0,0,0
19,19,1.1094635998226104e-14,0,0,1,0,0,0,0,0
19,0,4.6508571721627347e-16,0,0,1,0,0,0,0,0
20,29,7.1896587548332518e-08,1,0,0,0,0,0,2.7804960251311857e-06,2.2604055691174337e-06
20,28,9.6151342896920445e-14,0,0,1,0,0,0,0,0
20,1,7.4041287367477481e-14,0,0,1,0,0,0,0,0
20,26,6.5708633967087232e-14,0,0,1,0,0,0,0,0
20,24,6.4687987728009995e-14,0,0,1,0,0,0,0,0
20,27,4.7620004346995409e-14,0,0,1,0,0,0,0,0
20,25,4.6158464417815068e-14,0,0,1,0,0,0,0,0
20,5,2.9275300496785827e-14,0,0,1,0,0,0,0,0
20,9,2.8235689525291014e-14,0,0,1,0,0,0,0,0
