method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,0,-40.190776252600692,1.1475594368087397e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,1,-39.587783846039812,7.1060015035107838e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,2,-39.530151400183072,1.6540281204352791e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,3,-39.530151400182987,1.5609989691533611e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,4,-39.530151400182966,1.7922873045816361e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,5,-39.412585414388573,2.3904377537847478e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,6,-39.412585414388509,2.8251525152655502e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,7,-39.402524307527742,2.8231252656199368e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,8,-39.402524307527706,1.5002084833510356e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,9,-39.402524307527649,2.2468875867835318e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,10,-39.376663783891779,1.0189401127888664e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,11,-39.376663783891694,2.2857175282521705e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,12,-39.376663783891608,2.3212400301016157e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,13,-39.367701470295422,2.3174269464134573e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,14,-39.367701470295259,2.4372867874919527e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,15,-39.364323150450176,1.562134680579693e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,16,-39.364323150450019,1.3564356287238844e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,17,-39.36432315044997,1.9207008577042791e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,18,-39.312786707793258,1.2043188554707933e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,19,-39.312786707793158,1.1878716367045635e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,20,-39.312786707793158,1.2286411185375672e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,21,-39.29021988381318,1.7849174071570328e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,22,-39.290219883813009,1.2325297082623023e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,23,-39.290219883812803,2.0535258149426192e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,24,-39.176458439525938,6.3397374138245948e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,25,-39.059902131173487,4.7390625523258407e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,26,-39.059902131173466,6.1672604978480425e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,27,-39.05990213117343,5.0282715008338997e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,28,-39.023899884567143,7.702220585263883e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,29,-39.013014208760957,7.3852635225216249e-14
