repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600685,4.0536615129605173e-13,1.0000000000000029
1,1,-39.587783846039812,1.7476308129319274e-13,0.99999999999999978
1,2,-39.530151400183087,3.4699089108079785e-13,1.0000000000000027
1,3,-39.530151400183044,2.9072448341894669e-13,1.000000000000002
1,4,-39.530151400182966,2.2968108432241512e-13,0.99999999999999845
1,5,-39.412585414388609,4.6346745481855172e-13,0.99999999999999833
1,6,-39.412585414388573,3.4995968159742416e-13,0.99999999999999967
1,7,-39.40252430752782,6.4155433688633095e-14,0.99999999999999722
1,8,-39.402524307527777,3.7788788153273831e-13,1
1,9,-39.402524307527713,3.0691518851750765e-13,1.0000000000000007
1,10,-39.376663783891686,2.714501000865806e-13,0.99999999999999623
1,11,-39.37666378389163,2.7089840536095328e-13,1
1,12,-39.376663783891615,1.7750897082495548e-13,1.0000000000000029
1,13,-39.367701470295451,2.6568841219511815e-13,0.99999999999999667
1,14,-39.367701470295444,2.7162029116642593e-13,0.99999999999999878
1,15,-39.364323150450005,4.3653076055687413e-13,1.0000000000000018
1,16,-39.364323150449998,1.170488325328068e-13,0.999999999999998
1,17,-39.364323150449934,1.2223120310972148e-13,0.99999999999999212
1,18,-39.312786707793265,1.8935530285031975e-13,1.0000000000000013
1,19,-39.312786707793173,3.9234226842022779e-13,0.99999999999999734
1,20,-39.312786707793158,3.6428791617644297e-13,0.999999999999997
1,21,-39.290219883813144,2.504857907800148e-13,0.99999999999999678
1,22,-39.290219883813137,3.2063511041835414e-13,1.0000000000000002
1,23,-39.290219883813066,2.8666375308813978e-13,1.000000000000002
1,24,-39.176458439526037,3.9016274819420348e-13,1.0000000000000042
1,25,-39.059902131173494,3.8704204187333974e-13,0.999999999999999
1,26,-39.059902131173409,3.5761617141463658e-13,0.99999999999999933
1,27,-39.059902131173381,3.5542811361035295e-13,1.000000000000002
1,28,-39.023899884567172,4.8614087850394665e-13,1.0000000000000111
1,29,-39.013014208761049,4.0092079916185998e-13,1.000000000000004
