davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after
31,29,1,1,2.2160110303697397e-09,1.6803061489892496e-09,3.8156660700896388e-11,3.2254236866845481e-11,4.3215698459857171e-14,4.5258727345305285e-14,3.8156660700896388e-11,3.2254236866845481e-11,1,none,40,41,1.6209256159527285e-14,1.4432899320127035e-14
32,29,1,1,1.7507058166222777e-09,1.3882518591531214e-09,3.2254236866845481e-11,2.3959700663729121e-11,4.5258727345305285e-14,4.5099424731419734e-14,3.2254236866845481e-11,2.3959700663729121e-11,1,none,41,42,1.4432899320127035e-14,1.5099033134902129e-14
33,29,1,1,1.3430074454530228e-09,9.8387985727734402e-10,2.3959700663729121e-11,1.7000273164350153e-11,4.5099424731419734e-14,4.1531918526549044e-14,2.3959700663729121e-11,1.7000273164350153e-11,1,none,42,43,1.5099033134902129e-14,1.3322676295501878e-14
34,29,1,1,6.8175511611570213e-10,5.8949999674597319e-10,1.7000273164350153e-11,1.166726730003404e-11,4.1531918526549044e-14,4.1417072077765389e-14,1.7000273164350153e-11,1.166726730003404e-11,1,none,43,44,1.3322676295501878e-14,1.4210854715202004e-14
35,29,1,1,5.713456040342881e-10,4.2988555701582483e-10,1.166726730003404e-11,7.0148987571375581e-12,4.1417072077765389e-14,4.0378743668096959e-14,1.166726730003404e-11,7.0148987571375581e-12,1,none,44,45,1.4210854715202004e-14,1.4432899320127035e-14
36,29,1,1,6.0521928073629714e-10,3.9165340881572301e-10,7.0148987571375581e-12,4.3839690124923972e-12,4.0378743668096959e-14,3.9072730935683771e-14,7.0148987571375581e-12,4.3839690124923972e-12,1,none,45,46,1.4432899320127035e-14,1.4432899320127035e-14
37,29,1,1,2.9652763532969793e-10,1.7120635947969627e-10,4.3839690124923972e-12,2.2240326731883356e-12,3.9072730935683771e-14,3.8182435776283974e-14,4.3839690124923972e-12,2.2240326731883356e-12,1,none,46,47,1.4432899320127035e-14,1.3322676295501878e-14
38,29,1,1,1.083156338687743e-10,8.3387014981110967e-11,2.2240326731883356e-12,1.3013311410781173e-12,3.8182435776283974e-14,3.8371295800526768e-14,2.2240326731883356e-12,1.3013311410781173e-12,1,none,47,48,1.3322676295501878e-14,1.4432899320127035e-14
39,29,1,1,6.5900715938294911e-11,4.9913555177253163e-11,1.3013311410781173e-12,8.7976132107214946e-13,3.8371295800526768e-14,3.8869406674512566e-14,1.3013311410781173e-12,8.7976132107214946e-13,1,none,48,49,1.4432899320127035e-14,1.3322676295501878e-14
40,29,1,1,4.5313517550327835e-11,3.2792457234985837e-11,8.7976132107214946e-13,5.8718187677749401e-13,3.8869406674512566e-14,3.8287728266957831e-14,8.7976132107214946e-13,5.8718187677749401e-13,1,none,49,50,1.3322676295501878e-14,1.6431300764452317e-14
41,29,1,1,3.017120604734563e-11,2.0179196156269617e-11,5.8718187677749401e-13,3.6003849082371306e-13,3.8287728266957831e-14,3.8477263766334387e-14,5.8718187677749401e-13,3.6003849082371306e-13,1,none,50,51,1.6431300764452317e-14,1.5765166949677223e-14
42,29,1,1,1.758272058343055e-11,1.2065465678847252e-11,3.6003849082371306e-13,1.7481370963807184e-13,3.8477263766334387e-14,3.661328273951061e-14,3.6003849082371306e-13,1.7481370963807184e-13,1,none,51,52,1.5765166949677223e-14,1.7319479184152442e-14
43,29,1,1,8.2943188479023926e-12,5.6256709959687938e-12,1.7481370963807184e-13,7.8373544517856265e-14,3.661328273951061e-14,3.6482784828656959e-14,1.7481370963807184e-13,7.8373544517856265e-14,1,none,52,53,1.7319479184152442e-14,1.2878587085651816e-14
44,none,0,2,,,7.8373544517856265e-14,7.8373544517856265e-14,3.6482784828656959e-14,3.6482784828656959e-14,7.8373544517856265e-14,7.8373544517856265e-14,0,no_valid_correction,53,53,1.2878587085651816e-14,1.2878587085651816e-14
