davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.00070248293380072862,1,0,0,0,0,0,0.037328619512144244,0.037037542743638928
1,28,2.8242081318779259e-11,1,0,0,0,0,0,1.4970212229690129e-09,1.3682932217148053e-09
2,29,3.1269324802713122e-05,1,0,0,0,0,0,0.003925440244972548,0.0026330746454797608
2,28,5.9623030934105915e-12,1,0,0,0,0,0,4.1088133517666358e-10,3.5563750063777177e-10
3,29,1.3020345682012687e-05,1,0,0,0,0,0,0.00090075741656939201,0.00061243796182377662
3,28,6.5243838350060964e-12,1,0,0,0,0,0,7.9263158389267979e-10,4.9935134186594814e-10
4,29,5.9897699443172418e-06,1,0,0,0,0,0,0.00021228570353022506,0.00018955841923936102
4,28,3.7666480440305857e-12,1,0,0,0,0,0,1.5656097164152985e-10,1.029579733921308e-10
5,29,4.1627418913475906e-06,1,0,0,0,0,0,0.00017375152160433008,0.0001471590048658549
5,28,2.1392091395835513e-12,1,0,0,0,0,0,9.8432666513629223e-11,7.288393656802107e-11
6,29,2.9284283025518091e-06,1,0,0,0,0,0,0.00017837067481392806,0.00013223160217375331
6,28,1.9252262297877336e-12,1,0,0,0,0,0,1.0405353187994236e-10,8.0671736617503793e-11
7,29,1.8692795841487435e-06,1,0,0,0,0,0,0.00012930804831865267,8.0764442054597532e-05
7,28,1.8708013864541069e-12,1,0,0,0,0,0,1.2817781458579919e-10,7.5877331722743055e-11
8,29,1.4089679295649195e-06,1,0,0,0,0,0,6.142696927743058e-05,4.2002835296592116e-05
8,28,1.5338373499479138e-12,1,0,0,0,0,0,6.1128549247547947e-11,4.2085982350972502e-11
9,29,8.5946643610440146e-07,1,0,0,0,0,0,4.485811067930714e-05,2.7969339266867532e-05
9,28,7.2878221699340595e-13,1,0,0,0,0,0,3.2571946275886302e-11,2.0578807005106969e-11
10,29,4.9204319668693907e-07,1,0,0,0,0,0,1.7524333226496001e-05,1.4200920120543849e-05
10,28,3.5024017999340585e-13,1,0,0,0,0,0,1.4281682802816206e-11,1.0253599407472372e-11
11,29,2.3916599777935324e-07,1,0,0,0,0,0,7.2911335728069376e-06,6.2785991660731286e-06
11,28,1.8044904334154606e-13,1,0,0,0,0,0,8.520627652888163e-12,7.0519014119301342e-12
12,29,1.0166540683146654e-07,1,0,0,0,0,0,3.6345228272678246e-06,3.1748048001377234e-06
12,28,1.071173184742183e-13,1,0,0,0,0,0,8.3763487503473448e-12,6.4881958861075959e-12
13,29,4.7882811789608926e-08,1,0,0,0,0,0,1.9583199671687265e-06,1.695611077463562e-06
13,28,1.0587209186654363e-13,1,0,0,0,0,0,6.2806695718711549e-12,4.7209846888150526e-12
14,29,2.7749951185903421e-08,1,0,0,0,0,0,1.4853040174494209e-06,1.127318446099422e-06
14,28,1.2041505186855284e-13,1,0,0,0,0,0,1.008105033768197e-11,5.0344109090677924e-12
15,29,1.9532228703675939e-08,1,0,0,0,0,0,1.3362772117826415e-06,8.9858730894805738e-07
15,28,1.1954073691520475e-13,1,0,0,0,0,0,4.6752170764470615e-12,3.9612109738741737e-12
16,29,1.4443439439489819e-08,1,0,0,0,0,0,1.281058470450719e-06,7.6092642429073974e-07
16,28,6.9937467683768437e-14,0,0,1,0,0,0,0,0
16,24,2.2150445431654285e-14,0,0,1,0,0,0,0,0
16,1,2.0758900646500536e-14,0,0,1,0,0,0,0,0
16,27,2.0274542122166333e-14,0,0,1,0,0,0,0,0
16,25,1.5290263840489618e-14,0,0,1,0,0,0,0,0
16,26,1.351619116510936e-14,0,0,1,0,0,0,0,0
16,6,1.2015107134170032e-14,0,0,1,0,0,0,0,0
16,10,1.0204796347807358e-14,0,0,1,0,0,0,0,0
16,23,9.8727068283796103e-15,0,0,1,0,0,0,0,0
16,13,9.6533949341704327e-15,0,0,1,0,0,0,0,0
16,14,8.8650917349865029e-15,0,0,1,0,0,0,0,0
16,7,8.3470561995925804e-15,0,0,1,0,0,0,0,0
16,22,7.6053752388753445e-15,0,0,1,0,0,0,0,0
16,11,7.0325562944317408e-15,0,0,1,0,0,0,0,0
16,9,6.5561721471581812e-15,0,0,1,0,0,0,0,0
16,21,6.2801547594266906e-15,0,0,1,0,0,0,0,0
16,17,5.9297203766843399e-15,0,0,1,0,0,0,0,0
16,3,5.8286402601629644e-15,0,0,1,0,0,0,0,0
16,20,5.8239745431924387e-15,0,0,1,0,0,0,0,0
16,8,5.398723137833521e-15,0,0,1,0,0,0,0,0
16,5,5.3219248274702866e-15,0,0,1,0,0,0,0,0
16,2,4.902292553867799e-15,0,0,1,0,0,0,0,0
16,12,4.8815092462130764e-15,0,0,1,0,0,0,0,0
16,18,4.8289005208464666e-15,0,0,1,0,0,0,0,0
16,19,4.6913165391523024e-15,0,0,1,0,0,0,0,0
16,16,4.65472783233744e-15,0,0,1,0,0,0,0,0
16,4,4.5450849848569085e-15,0,0,1,0,0,0,0,0
16,15,4.3111776163732873e-15,0,0,1,0,0,0,0,0
16,0,8.47279722356562e-16,0,0,1,0,0,0,0,0
17,29,9.4322763826604466e-09,1,0,0,0,0,0,5.3535248192545749e-07,3.6890700379960352e-07
17,28,6.8115116070476126e-14,0,0,1,0,0,0,0,0
17,24,2.1806833543718078e-14,0,0,1,0,0,0,0,0
17,1,2.0779478597758843e-14,0,0,1,0,0,0,0,0
17,27,2.0355343309715687e-14,0,0,1,0,0,0,0,0
17,26,1.7869243321054727e-14,0,0,1,0,0,0,0,0
17,5,1.1960243829514316e-14,0,0,1,0,0,0,0,0
17,25,9.7261972540298216e-15,0,0,1,0,0,0,0,0
17,23,9.5730809671947471e-15,0,0,1,0,0,0,0,0
17,13,9.4834231895278336e-15,0,0,1,0,0,0,0,0
17,10,9.2181513000374037e-15,0,0,1,0,0,0,0,0
17,14,9.0784324270208595e-15,0,0,1,0,0,0,0,0
17,7,8.5875345519124529e-15,0,0,1,0,0,0,0,0
