davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted
1,29,0.000704502745666441,2.4026815543613541e-05,1,35,2.4026815543613541e-05,29,1.9574953277166432e-11,2.4026815543613541e-05,1.2878587085651816e-14,0
1,28,1.093430840211046e-10,1.9574953277166432e-11,1,35,2.4026815543613541e-05,29,1.9574953277166432e-11,2.4026815543613541e-05,1.2878587085651816e-14,0
2,29,2.4026815543613541e-05,8.9686874686739588e-06,1,37,8.9686874686739588e-06,29,1.1100605846440912e-11,8.9686874686739588e-06,1.4210854715202004e-14,0
2,28,1.9574953277166432e-11,1.1100605846440912e-11,1,37,8.9686874686739588e-06,29,1.1100605846440912e-11,8.9686874686739588e-06,1.4210854715202004e-14,0
3,29,8.9686874686739588e-06,4.353555421199866e-06,1,39,4.353555421199866e-06,29,1.620480308140308e-11,4.353555421199866e-06,1.3100631690576847e-14,0
3,28,1.1100605846440912e-11,1.620480308140308e-11,1,39,4.353555421199866e-06,29,1.620480308140308e-11,4.353555421199866e-06,1.3100631690576847e-14,0
4,29,4.353555421199866e-06,2.17359444991247e-06,1,41,2.17359444991247e-06,29,1.670705752610533e-11,2.17359444991247e-06,1.3100631690576847e-14,0
4,28,1.620480308140308e-11,1.670705752610533e-11,1,41,2.17359444991247e-06,29,1.670705752610533e-11,2.17359444991247e-06,1.3100631690576847e-14,0
5,29,2.17359444991247e-06,1.5127223991597728e-06,1,43,1.5127223991597728e-06,29,1.1014054162085815e-11,1.5127223991597728e-06,1.532107773982716e-14,0
5,28,1.670705752610533e-11,1.1014054162085815e-11,1,43,1.5127223991597728e-06,29,1.1014054162085815e-11,1.5127223991597728e-06,1.532107773982716e-14,0
6,29,1.5127223991597728e-06,1.0333764271079754e-06,1,45,1.0333764271079754e-06,29,5.2371120571873001e-12,1.0333764271079754e-06,1.6209256159527285e-14,0
6,28,1.1014054162085815e-11,5.2371120571873001e-12,1,45,1.0333764271079754e-06,29,5.2371120571873001e-12,1.0333764271079754e-06,1.6209256159527285e-14,0
7,29,1.0333764271079754e-06,6.8342081686403111e-07,1,47,6.8342081686403111e-07,29,4.1392338878006403e-12,6.8342081686403111e-07,1.4654943925052066e-14,0
7,28,5.2371120571873001e-12,4.1392338878006403e-12,1,47,6.8342081686403111e-07,29,4.1392338878006403e-12,6.8342081686403111e-07,1.4654943925052066e-14,0
8,29,6.8342081686403111e-07,5.2953107629781609e-07,1,49,5.2953107629781609e-07,29,2.5383751759724849e-12,5.2953107629781609e-07,1.7763568394002505e-14,0
8,28,4.1392338878006403e-12,2.5383751759724849e-12,1,49,5.2953107629781609e-07,29,2.5383751759724849e-12,5.2953107629781609e-07,1.7763568394002505e-14,0
