davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation
1,29,0.0017538460493587691,0.00014783386973098387,1,35,0.00014783386973098387,29,9.2483165482016863e-12,0.00014783386973098387,1.4210854715202004e-14,0,1,1,0.00014783386973098387,9.2483165482016863e-12,0.00014783386973098387,1,1,1,1,global_ok+active_ok,0,1,1e-08,1,0,12,0
1,28,8.5584353705164456e-11,9.2483165482016863e-12,1,35,0.00014783386973098387,29,9.2483165482016863e-12,0.00014783386973098387,1.4210854715202004e-14,0,1,1,0.00014783386973098387,9.2483165482016863e-12,0.00014783386973098387,1,1,1,1,global_ok+active_ok,0,1,1e-08,1,0,12,0
2,29,0.00014783386973098387,4.5232525324277666e-05,1,37,4.5232525324277666e-05,29,3.1456681902580484e-12,4.5232525324277666e-05,1.532107773982716e-14,0,1,2,4.5232525324277666e-05,3.1456681902580484e-12,4.5232525324277666e-05,1,1,1,1,global_ok+active_ok,0,1,1e-08,2,0,12,0
2,28,9.2483165482016863e-12,3.1456681902580484e-12,1,37,4.5232525324277666e-05,29,3.1456681902580484e-12,4.5232525324277666e-05,1.532107773982716e-14,0,1,2,4.5232525324277666e-05,3.1456681902580484e-12,4.5232525324277666e-05,1,1,1,1,global_ok+active_ok,0,1,1e-08,2,0,12,0
3,29,4.5232525324277666e-05,2.4824323777762029e-05,1,39,2.4824323777762029e-05,29,2.41560929963669e-12,2.4824323777762029e-05,1.4876988529977098e-14,0,1,3,2.4824323777762029e-05,2.41560929963669e-12,2.4824323777762029e-05,1,1,1,1,global_ok+active_ok,0,1,1e-08,3,0,12,0
3,28,3.1456681902580484e-12,2.41560929963669e-12,1,39,2.4824323777762029e-05,29,2.41560929963669e-12,2.4824323777762029e-05,1.4876988529977098e-14,0,1,3,2.4824323777762029e-05,2.41560929963669e-12,2.4824323777762029e-05,1,1,1,1,global_ok+active_ok,0,1,1e-08,3,0,12,0
4,29,2.4824323777762029e-05,1.4358267348921745e-05,1,41,1.4358267348921745e-05,29,2.8621155625622706e-12,1.4358267348921745e-05,1.4432899320127035e-14,0,1,4,1.4358267348921745e-05,2.41560929963669e-12,1.4358267348921745e-05,1,1,1,1,global_ok+active_ok,0,1,1e-08,4,0,12,0
4,28,2.41560929963669e-12,2.8621155625622706e-12,1,41,1.4358267348921745e-05,29,2.8621155625622706e-12,1.4358267348921745e-05,1.4432899320127035e-14,0,1,4,1.4358267348921745e-05,2.41560929963669e-12,1.4358267348921745e-05,1,1,1,1,global_ok+active_ok,0,1,1e-08,4,0,12,0
5,29,1.4358267348921745e-05,1.3140279097459766e-05,1,43,1.3140279097459766e-05,29,2.3096397960524398e-12,1.3140279097459766e-05,1.7097434579227411e-14,0,1,5,1.3140279097459766e-05,2.3096397960524398e-12,1.3140279097459766e-05,1,1,1,1,global_ok+active_ok,0,1,1e-08,5,0,12,0
5,28,2.8621155625622706e-12,2.3096397960524398e-12,1,43,1.3140279097459766e-05,29,2.3096397960524398e-12,1.3140279097459766e-05,1.7097434579227411e-14,0,1,5,1.3140279097459766e-05,2.3096397960524398e-12,1.3140279097459766e-05,1,1,1,1,global_ok+active_ok,0,1,1e-08,5,0,12,0
