davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.0017538460493587691,1,0,0,0,0,0,0.10638009747063831,0.10136351325293327
1,28,8.5584353705164456e-11,1,0,0,0,0,0,4.8834601377275663e-09,3.3159445116941739e-09
2,29,0.00014783386973098387,1,0,0,0,0,0,0.024703721144088267,0.014266586720669891
2,28,9.2483165482016863e-12,1,0,0,0,0,0,1.1820965212407603e-09,2.3117542512525426e-10
3,29,4.5232525324277666e-05,1,0,0,0,0,0,0.0027417398123359871,0.0019082835410701815
3,28,3.1456681902580484e-12,1,0,0,0,0,0,1.697073056295206e-10,1.094571725522882e-10
4,29,2.4824323777762029e-05,1,0,0,0,0,0,0.001014270429338915,0.00077582626309594127
4,28,2.41560929963669e-12,1,0,0,0,0,0,2.4071411769530089e-10,1.5747999543689898e-10
5,29,1.4358267348921745e-05,1,0,0,0,0,0,0.0009716402124640938,0.00071859052429448973
5,28,2.8621155625622706e-12,1,0,0,0,0,0,1.7024076137266936e-10,1.1808345500994887e-10
6,29,1.3140279097459766e-05,1,0,0,0,0,0,0.00078632741926341031,0.00060628866800303382
6,28,2.3096397960524398e-12,1,0,0,0,0,0,1.4620486141343157e-10,9.2720238103224152e-11
7,29,1.0464985592430323e-05,1,0,0,0,0,0,0.00092772938461490955,0.00055209281577679422
7,28,1.360517672666965e-12,1,0,0,0,0,0,6.7520260122446536e-11,4.4633315656194935e-11
8,29,7.2866978923167959e-06,1,0,0,0,0,0,0.00038999201479961079,0.00025903123479287851
8,28,9.0660297189109831e-13,1,0,0,0,0,0,4.1756850309804469e-11,3.0621867710934432e-11
9,29,4.506670549441262e-06,1,0,0,0,0,0,0.00020116331215403626,0.00016320454371324274
9,28,7.0748750264421118e-13,1,0,0,0,0,0,2.0207464119737519e-11,1.7775071201142143e-11
10,29,3.7274347672065199e-06,1,0,0,0,0,0,0.00013354816558974099,0.00011485743228334077
10,28,2.9093886887401254e-13,1,0,0,0,0,0,1.1462101212216633e-11,9.1042649770129281e-12
11,29,2.682334770732101e-06,1,0,0,0,0,0,9.740567378012049e-05,8.2426516631290618e-05
11,28,1.5939660350772377e-13,1,0,0,0,0,0,6.2522022231243139e-12,4.8660951124444788e-12
12,29,1.4717493768155883e-06,1,0,0,0,0,0,5.3758431549293238e-05,4.3035813208212145e-05
12,28,9.6610742137878368e-14,0,0,1,0,0,0,0,0
12,24,2.3776524190344499e-14,0,0,1,0,0,0,0,0
12,27,1.9396288608468321e-14,0,0,1,0,0,0,0,0
12,26,1.7437961436742431e-14,0,0,1,0,0,0,0,0
12,25,9.8481447319161178e-15,0,0,1,0,0,0,0,0
12,1,8.5587740385549268e-15,0,0,1,0,0,0,0,0
12,22,7.5318858400030294e-15,0,0,1,0,0,0,0,0
12,19,7.2357337740335364e-15,0,0,1,0,0,0,0,0
12,18,5.8860636283583956e-15,0,0,1,0,0,0,0,0
12,23,5.588822173372432e-15,0,0,1,0,0,0,0,0
12,13,5.4077602454944502e-15,0,0,1,0,0,0,0,0
12,21,5.3947401116075618e-15,0,0,1,0,0,0,0,0
12,17,5.1632690225754417e-15,0,0,1,0,0,0,0,0
12,11,5.033673464966261e-15,0,0,1,0,0,0,0,0
12,7,4.8408882433122455e-15,0,0,1,0,0,0,0,0
12,14,4.7590234853320457e-15,0,0,1,0,0,0,0,0
12,5,4.7364845998182993e-15,0,0,1,0,0,0,0,0
12,9,4.7199207035223202e-15,0,0,1,0,0,0,0,0
12,6,4.5557271496418509e-15,0,0,1,0,0,0,0,0
12,3,4.3055960657267802e-15,0,0,1,0,0,0,0,0
12,10,4.2784528288885402e-15,0,0,1,0,0,0,0,0
12,2,4.234773638025598e-15,0,0,1,0,0,0,0,0
12,15,3.8034741819681933e-15,0,0,1,0,0,0,0,0
12,12,3.7642988184651696e-15,0,0,1,0,0,0,0,0
12,4,3.6666708116968547e-15,0,0,1,0,0,0,0,0
12,16,3.5711955585719663e-15,0,0,1,0,0,0,0,0
12,20,3.5393148933775693e-15,0,0,1,0,0,0,0,0
12,8,3.3063269240675755e-15,0,0,1,0,0,0,0,0
12,0,4.6685193349190407e-16,0,0,1,0,0,0,0,0
13,29,8.5750984683266132e-07,1,0,0,0,0,0,3.8590053354244811e-05,3.4046703943194879e-05
