method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,0,-40.190776252600713,4.6578912052146012e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,1,-39.587783846039827,8.5467350201435031e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,2,-39.530151400183072,3.7069968142577303e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,3,-39.530151400183072,3.8854736881356477e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,4,-39.530151400183051,3.3837763051717064e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,5,-39.41258541438858,5.1010862507831915e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,6,-39.412585414388509,3.8976802665727068e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,7,-39.402524307527777,3.4279531909547688e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,8,-39.402524307527706,5.1990903368575984e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,9,-39.402524307527692,4.1003240328547326e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,10,-39.376663783891757,3.5901440453590087e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,11,-39.376663783891708,4.6608872776935352e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,12,-39.37666378389158,3.944027792614083e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,13,-39.367701470295444,4.7605213558077013e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,14,-39.36770147029538,5.2373538512299713e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,15,-39.364323150450105,4.5196304838843428e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,16,-39.364323150450069,3.5039062263469379e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,17,-39.364323150449906,4.6263351449436259e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,18,-39.312786707793315,4.9504919377272698e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,19,-39.312786707793251,4.2814564547935021e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,20,-39.312786707793194,4.9151698414100453e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,21,-39.290219883813521,9.4040000422509789e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,22,-39.290219883813258,8.2717883723328437e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,23,-39.290219883813045,6.2806640161195449e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,24,-39.176458439525803,2.1933452652120028e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,25,-39.059902131173523,1.4133698718162489e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,26,-39.059902131173445,1.3528740163007179e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,27,-39.059902131173317,1.7143034177167547e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,28,-39.023899884567214,7.2612039167449912e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,44,30,29,-39.013014208760822,1.9207151303017475e-11
