repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600685,4.0535106964095601e-13,1.0000000000000018
1,1,-39.587783846039699,1.8264339655814821e-13,1
1,2,-39.530151400183016,2.2314706576675105e-13,1.0000000000000027
1,3,-39.530151400183016,2.8329578267056472e-13,0.99999999999999967
1,4,-39.53015140018293,3.2187887359633695e-13,1.000000000000002
1,5,-39.412585414388523,2.0818747206281026e-13,0.99999999999999567
1,6,-39.412585414388509,4.0963644914293095e-13,1.0000000000000044
1,7,-39.402524307527763,4.0498185238530229e-14,1.0000000000000029
1,8,-39.40252430752772,5.6473220531707957e-14,0.99999999999999878
1,9,-39.402524307527663,3.3424439315080954e-13,1.0000000000000004
1,10,-39.376663783891715,1.7527827677257944e-13,1.0000000000000002
1,11,-39.376663783891665,1.8136052952367989e-13,0.99999999999999967
1,12,-39.376663783891615,1.3316968659372049e-13,1.0000000000000011
1,13,-39.367701470295444,3.2131582923323547e-13,0.99999999999999767
1,14,-39.36770147029543,2.7516079756597361e-13,0.99999999999999678
1,15,-39.364323150450062,2.5083329033513508e-13,1.0000000000000016
1,16,-39.364323150450062,3.8117165514131219e-13,0.999999999999998
1,17,-39.364323150449991,3.1410351819669913e-13,0.99999999999999789
1,18,-39.312786707793244,1.721002863153376e-13,1.000000000000002
1,19,-39.312786707793229,1.2996642255932111e-13,0.99999999999999312
1,20,-39.312786707793194,8.4040499276147947e-14,0.99999999999999745
1,21,-39.290219883813208,8.7697980645059368e-14,0.99999999999999967
1,22,-39.290219883813137,3.7692967316844871e-13,0.999999999999995
1,23,-39.290219883813037,3.5144206269004479e-13,1.0000000000000004
1,24,-39.176458439526201,3.8854544095603076e-13,1.0000000000000071
1,25,-39.059902131173537,1.4900047585701689e-13,0.99999999999999611
1,26,-39.059902131173445,2.2852162176238524e-13,1.0000000000000013
1,27,-39.059902131173395,2.2128839626034472e-13,0.99999999999999867
1,28,-39.02389988456725,2.7657166887751386e-13,1.0000000000000091
1,29,-39.013014208761014,3.4222977911700268e-13,0.99999999999999911
