davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation
1,29,0.00078899758487113974,3.9305506171086542e-05,1,35,3.9305506171086542e-05,29,8.2694374252844045e-11,3.9305506171086542e-05,1.5765166949677223e-14,0,1,1,3.9305506171086542e-05,8.2694374252844045e-11,3.9305506171086542e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0
1,26,3.1247952982535293e-10,1.2588958384697434e-10,1,35,3.9305506171086542e-05,29,8.2694374252844045e-11,3.9305506171086542e-05,1.5765166949677223e-14,0,1,1,3.9305506171086542e-05,8.2694374252844045e-11,3.9305506171086542e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0
2,29,3.9305506171086542e-05,1.7796013161091324e-05,1,37,1.7796013161091324e-05,29,8.1629717107492087e-11,1.7796013161091324e-05,1.3766765505351941e-14,0,1,2,1.7796013161091324e-05,8.1629717107492087e-11,1.7796013161091324e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0
2,26,1.2588958384697434e-10,6.104754400881171e-12,1,37,1.7796013161091324e-05,29,8.1629717107492087e-11,1.7796013161091324e-05,1.3766765505351941e-14,0,1,2,1.7796013161091324e-05,8.1629717107492087e-11,1.7796013161091324e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0
3,29,1.7796013161091324e-05,9.3048083060173384e-06,1,39,9.3048083060173384e-06,29,3.6647672529870495e-11,9.3048083060173384e-06,1.2434497875801753e-14,0,1,3,9.3048083060173384e-06,3.6647672529870495e-11,9.3048083060173384e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0
3,28,8.1629717107492087e-11,3.6647672529870495e-11,1,39,9.3048083060173384e-06,29,3.6647672529870495e-11,9.3048083060173384e-06,1.2434497875801753e-14,0,1,3,9.3048083060173384e-06,3.6647672529870495e-11,9.3048083060173384e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0
4,29,9.3048083060173384e-06,4.3189208385182248e-06,1,41,4.3189208385182248e-06,29,3.6010650073503793e-11,4.3189208385182248e-06,1.354472090042691e-14,0,1,4,4.3189208385182248e-06,3.6010650073503793e-11,4.3189208385182248e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0
4,25,4.973788381238482e-11,2.1130346439855551e-11,1,41,4.3189208385182248e-06,29,3.6010650073503793e-11,4.3189208385182248e-06,1.354472090042691e-14,0,1,4,4.3189208385182248e-06,3.6010650073503793e-11,4.3189208385182248e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0
5,29,4.3189208385182248e-06,2.4773238894295509e-06,1,43,2.4773238894295509e-06,29,2.0271887361048245e-11,2.4773238894295509e-06,1.6653345369377348e-14,0,1,5,2.4773238894295509e-06,2.0271887361048245e-11,2.4773238894295509e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0
5,28,3.6010650073503793e-11,2.0271887361048245e-11,1,43,2.4773238894295509e-06,29,2.0271887361048245e-11,2.4773238894295509e-06,1.6653345369377348e-14,0,1,5,2.4773238894295509e-06,2.0271887361048245e-11,2.4773238894295509e-06,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0
