davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.00078899758487113974,1,0,0,0,0,0,0.041633730766933462,0.041362954572280411
1,26,3.1247952982535293e-10,1,0,0,0,0,0,2.5441128749637102e-08,2.4613427047260429e-08
2,29,3.9305506171086542e-05,1,0,0,0,0,0,0.0034759100836991995,0.0025639150786079283
2,26,1.2588958384697434e-10,1,0,0,0,0,0,6.3950636772156806e-09,5.6188933985526073e-09
3,29,1.7796013161091324e-05,1,0,0,0,0,0,0.0017831636376885432,0.0011327656300000363
3,28,8.1629717107492087e-11,1,0,0,0,0,0,4.8072756420579559e-09,4.5707415992086177e-09
4,29,9.3048083060173384e-06,1,0,0,0,0,0,0.00042861997559353937,0.00031481227441287218
4,25,4.973788381238482e-11,1,0,0,0,0,0,2.4139109076468859e-09,1.8531299747399133e-09
5,29,4.3189208385182248e-06,1,0,0,0,0,0,0.00017013236665454015,0.00015303732349533945
5,28,3.6010650073503793e-11,1,0,0,0,0,0,1.9525156915711913e-09,1.7944122020854895e-09
6,29,2.4773238894295509e-06,1,0,0,0,0,0,0.00012165495141995469,9.3804499079135832e-05
6,25,2.1603872283169431e-11,1,0,0,0,0,0,1.0265978676980165e-09,7.9426226003346891e-10
7,29,1.9120302602062484e-06,1,0,0,0,0,0,0.00013046065226002206,8.5333140968356608e-05
7,28,2.0159511755036039e-11,1,0,0,0,0,0,1.0318766600273031e-09,6.0664469397268605e-10
8,29,1.4034016820816726e-06,1,0,0,0,0,0,0.00012568024875702711,6.8162521868759621e-05
8,26,1.064027196842733e-11,1,0,0,0,0,0,4.0450121788212838e-10,3.4021361434215575e-10
9,29,8.0834744180370593e-07,1,0,0,0,0,0,4.8026441915764647e-05,3.2590505659615631e-05
9,24,7.7058190989496441e-12,1,0,0,0,0,0,3.6527254915885876e-10,3.0275247551967351e-10
10,29,5.3015283892740011e-07,1,0,0,0,0,0,2.2062538213509635e-05,1.9076203565831382e-05
10,28,6.1732116115575814e-12,1,0,0,0,0,0,2.9651405787883499e-10,2.5109777030388189e-10
11,29,3.5841951857161701e-07,1,0,0,0,0,0,1.3957483621140016e-05,1.2953719869113569e-05
11,26,4.3802723703886539e-12,1,0,0,0,0,0,1.6813647999028604e-10,1.5060144319166412e-10
12,29,2.6358447250415465e-07,1,0,0,0,0,0,1.1270382045377915e-05,1.0113421823166111e-05
12,24,3.7931888811005924e-12,1,0,0,0,0,0,2.6571688371133984e-10,1.2006780454958757e-10
13,29,2.7420594021219261e-07,1,0,0,0,0,0,1.4343279873836859e-05,1.204424295025243e-05
13,25,2.6733420674706612e-12,1,0,0,0,0,0,1.0552272285287898e-10,8.6151330890803584e-11
14,29,2.3412984578256565e-07,1,0,0,0,0,0,2.0616590584557519e-05,1.3785618524355991e-05
14,24,2.4525536456131855e-12,1,0,0,0,0,0,3.0890685574971719e-10,7.1859838323766707e-11
15,29,1.6934604495413562e-07,1,0,0,0,0,0,1.1322079060831347e-05,7.6681961424587898e-06
15,24,2.4047261221472348e-12,1,0,0,0,0,0,3.5066751281356258e-10,1.7539640660706928e-11
16,29,1.1477080494896829e-07,1,0,0,0,0,0,6.5399308204923441e-06,5.3803228250410871e-06
16,24,2.2887666787012769e-12,1,0,0,0,0,0,2.0750613173438763e-10,4.4496154018055115e-11
17,29,7.2972554761266148e-08,1,0,0,0,0,0,4.7199740397619071e-06,3.563106018928821e-06
17,28,1.8659728099223598e-12,1,0,0,0,0,0,8.2236282227138282e-11,7.4067105846581073e-11
18,29,5.4479236379428412e-08,1,0,0,0,0,0,2.9649897463903126e-06,2.3736578830463378e-06
18,25,1.3573804791217563e-12,1,0,0,0,0,0,4.9429444201229197e-11,4.2658034196028008e-11
19,29,3.7303869242457512e-08,1,0,0,0,0,0,1.5742852372019215e-06,1.3535291707404275e-06
19,28,1.2265675973413766e-12,1,0,0,0,0,0,9.0843435056273529e-11,6.5086908911489552e-11
20,29,2.1686774525543331e-08,1,0,0,0,0,0,9.8555888184562259e-07,8.4063235985201468e-07
20,24,1.1709577955561584e-12,1,0,0,0,0,0,5.6824487763845128e-11,3.1124241327626515e-11
21,29,1.211955355773159e-08,1,0,0,0,0,0,5.2671376521453008e-07,4.4396672560248686e-07
21,28,1.0471673971910517e-12,1,0,0,0,0,0,5.0777757168633591e-11,4.4583011253370743e-11
22,29,6.3092004981044642e-09,1,0,0,0,0,0,4.2074968566262014e-07,3.2943549727334668e-07
22,27,8.408020001551664e-13,1,0,0,0,0,0,3.2943782777751443e-11,3.0536974747895425e-11
23,29,3.4970927373598936e-09,1,0,0,0,0,0,2.7625824011870117e-07,1.7061651867879433e-07
23,1,7.4827950489483384e-13,1,0,0,0,0,0,2.0713306922471393e-11,2.003092823182865e-11
24,29,1.960340344947604e-09,1,0,0,0,0,0,1.2014445733617844e-07,8.703220418084526e-08
24,21,6.2200576997339323e-13,1,0,0,0,0,0,1.7710411651808269e-10,5.0333912706553735e-11
25,29,1.2603197298253707e-09,1,0,0,0,0,0,7.6702313701452698e-08,5.5053451058310448e-08
25,28,6.0490741948151576e-13,1,0,0,0,0,0,6.5837404105039947e-11,5.607354891878819e-11
26,29,8.0616248647141921e-10,1,0,0,0,0,0,5.340325859613232e-08,3.6658123412977576e-08
26,28,7.1471598225926063e-13,1,0,0,0,0,0,3.9793206227362736e-11,2.8378689087350714e-11
27,29,5.6095734241339842e-10,1,0,0,0,0,0,2.4133160663353723e-08,2.1117680189547162e-08
27,28,6.6835888457356319e-13,1,0,0,0,0,0,4.7119959433032847e-11,2.7934460129275463e-11
28,29,4.0893075659272501e-10,1,0,0,0,0,0,1.7416541703180163e-08,1.4059519149829453e-08
28,23,5.9417194891573747e-13,1,0,0,0,0,0,3.8444331741161447e-10,3.5469773792299569e-11
29,29,2.4652244811829573e-10,1,0,0,0,0,0,1.2040378942827331e-08,9.8023564454944193e-09
29,28,5.4778303319300742e-13,1,0,0,0,0,0,2.8588544901315823e-11,2.1961701772847494e-11
30,29,1.5726031146709213e-10,1,0,0,0,0,0,8.5283003173766527e-09,6.5158436150851241e-09
30,24,4.8707945266530898e-13,1,0,0,0,0,0,2.3911430035735992e-11,1.1636505938751687e-11
31,28,4.3829634409799269e-13,0,1,0,0,0,0,3.1702376842521853e-11,2.8233095907793769e-11
31,29,1.4759996775139624e-10,0,1,0,0,0,0,9.3591816301495749e-09,6.2340374268869517e-09
32,28,2.98397471652153e-13,0,1,0,0,0,0,2.644346251837213e-11,2.4328565109907928e-11
32,29,1.3827327307364756e-10,0,1,0,0,0,0,8.1465467130006318e-09,4.7302497921514434e-09
33,28,3.2043401281067369e-13,0,1,0,0,0,0,2.2275836775075068e-11,1.4777526584606434e-11
33,29,1.1436301337704304e-10,0,1,0,0,0,0,5.8908654942778902e-09,4.4661455101327534e-09
34,28,2.5078397802528156e-13,0,1,0,0,0,0,1.5102820853442583e-11,1.0334049463765279e-11
34,29,9.0157951849959294e-11,0,1,0,0,0,0,4.4681774012917833e-09,3.5179316840963706e-09
35,28,1.4562078699510606e-13,0,1,0,0,0,0,8.0059916072584432e-12,6.4517108370136948e-12
35,29,6.453283020536925e-11,0,1,0,0,0,0,4.751850330818874e-09,3.0288184271039593e-09
36,28,1.2243424729945906e-13,0,1,0,0,0,0,8.9499372829885555e-12,6.0325435347602527e-12
36,29,4.5863743488147771e-11,0,1,0,0,0,0,3.707522232197389e-09,2.2776462347040552e-09
37,28,1.4485707702503669e-13,0,1,0,0,0,0,6.7389203321876796e-12,4.8574503708732734e-12
37,29,3.3817306922581325e-11,0,1,0,0,0,0,1.9843535166965306e-09,1.4281526775828798e-09
38,28,1.154434437578271e-13,0,1,0,0,0,0,7.2553256634600403e-12,4.423644249555621e-12
38,29,2.3388187003342042e-11,0,1,0,0,0,0,1.4174480012970962e-09,1.0959623190246498e-09
39,28,8.0369980869789306e-14,0,0,1,0,0,0,0,0
39,29,1.7088177097825268e-11,0,1,0,0,0,0,9.1526575953364479e-10,6.5704917862507805e-10
40,28,7.9928523643830091e-14,0,0,1,0,0,0,0,0
40,29,9.3836895936972454e-12,0,1,0,0,0,0,3.9618707038744543e-10,3.3359033353714026e-10
41,28,7.9995207189635445e-14,0,0,1,0,0,0,0,0
41,29,5.7086868819699331e-12,0,1,0,0,0,0,2.0710532906622698e-10,1.7203218285780458e-10
42,28,7.9562613691949615e-14,0,0,1,0,0,0,0,0
42,29,2.6194034735131965e-12,0,1,0,0,0,0,1.0557897891229229e-10,8.6217114972120274e-11
43,28,7.9397519084270621e-14,0,0,1,0,0,0,0,0
43,29,1.1972014150250367e-12,0,1,0,0,0,0,5.5225714879981141e-11,4.6173382518317823e-11
44,28,7.946011478742205e-14,0,0,1,0,0,0,0,0
44,29,6.7525196487124348e-13,0,1,0,0,0,0,4.20602614218894e-11,3.083464152248134e-11
45,28,7.8825197720512283e-14,0,0,1,0,0,0,0,0
45,29,4.7189227299731932e-13,0,1,0,0,0,0,3.9842029851240747e-11,2.7804010948907414e-11
46,28,7.8645835201617622e-14,0,0,1,0,0,0,0,0
46,29,4.0014587332906553e-13,0,1,0,0,0,0,2.8574073428288233e-11,1.8923180523716385e-11
47,28,7.8556023744512822e-14,0,0,1,0,0,0,0,0
47,29,2.5709355326930762e-13,0,1,0,0,0,0,1.8295767633498657e-11,1.1709103540110273e-11
48,28,7.818841178534075e-14,0,0,1,0,0,0,0,0
48,29,1.5779217067913318e-13,0,1,0,0,0,0,1.00868267380177e-11,6.8016262013577097e-12
49,28,7.8144698813332325e-14,0,0,1,0,0,0,0,0
49,29,9.8400196135900961e-14,0,0,1,0,0,0,0,0
