method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,0,-40.190776252600728,3.860251501222066e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,1,-39.587783846039791,1.7732845540303357e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,2,-39.530151400183108,1.9173039178475511e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,3,-39.530151400183101,2.4426793772012011e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,4,-39.530151400183058,2.5256937295298168e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,5,-39.412585414388559,2.7864118843386398e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,6,-39.412585414388552,3.0409967074162438e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,7,-39.402524307527699,3.1365165954048992e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,8,-39.402524307527663,2.4538106747301107e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,9,-39.402524307527656,2.7369977266773044e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,10,-39.376663783891786,2.3375333979629786e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,11,-39.376663783891694,1.7640979084872131e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,12,-39.376663783891573,1.5527800527924333e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,13,-39.36770147029555,3.8797950855099099e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,14,-39.367701470295401,3.0178197227888414e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,15,-39.364323150450055,1.7501994334066691e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,16,-39.364323150450019,1.576326823665939e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,17,-39.364323150449955,1.6666972109958002e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,18,-39.312786707793258,3.5105640154067495e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,19,-39.312786707793173,1.9041842573288453e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,20,-39.312786707793094,2.0880301206293388e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,21,-39.290219883813229,2.678578073304524e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,22,-39.29021988381318,2.2094290473425951e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,23,-39.290219883813094,3.7028484521981415e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,24,-39.17645843952598,2.3072597207406256e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,25,-39.059902131173487,4.6510926234542295e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,26,-39.059902131173409,3.2584008339880788e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,27,-39.059902131173402,2.8570775839612401e-13
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,28,-39.023899884567221,7.8144698813332325e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,41,30,29,-39.013014208761007,9.8400196135900961e-14
