davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation
31,29,1,1,1.3834923676016614e-08,1.0897322820426456e-08,3.2069113085779661e-10,1.5984458259497011e-10,7.7252630161470896e-14,7.5048118274799511e-14,3.2069113085779661e-10,1.5984458259497011e-10,1,none,53,54,1.532107773982716e-14,1.5543122344752192e-14,1,31,1.5984458259497011e-10,7.5048118274799511e-14,1.5984458259497011e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,31,0,12,0
32,29,1,1,9.4348692159435269e-09,6.4567404643484556e-09,1.5984458259497011e-10,7.786396029314587e-11,7.5048118274799511e-14,7.3618822045690044e-14,1.5984458259497011e-10,7.786396029314587e-11,1,none,54,35,1.5543122344752192e-14,1.4654943925052066e-14,1,32,7.786396029314587e-11,7.3618822045690044e-14,7.786396029314587e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,32,0,12,0
33,29,1,1,6.5636362750677944e-09,4.9432784369492847e-09,7.786396029314587e-11,5.1553634689791583e-11,7.3618822045690044e-14,7.3240893402697307e-14,7.786396029314587e-11,5.1553634689791583e-11,1,none,35,36,1.4654943925052066e-14,1.532107773982716e-14,1,33,5.1553634689791583e-11,7.3240893402697307e-14,5.1553634689791583e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,33,0,12,0
34,29,1,1,3.8816124799552269e-09,2.7536217893111465e-09,5.1553634689791583e-11,3.3090083153992261e-11,7.3240893402697307e-14,7.3061303248466931e-14,5.1553634689791583e-11,3.3090083153992261e-11,1,none,36,37,1.532107773982716e-14,1.532107773982716e-14,1,34,3.3090083153992261e-11,7.3061303248466931e-14,3.3090083153992261e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,34,0,12,0
35,29,1,1,2.3134040067200098e-09,1.5005157615223087e-09,3.3090083153992261e-11,2.2457396913079269e-11,7.3061303248466931e-14,7.3244578160118741e-14,3.3090083153992261e-11,2.2457396913079269e-11,1,none,37,38,1.532107773982716e-14,1.5543122344752192e-14,1,35,2.2457396913079269e-11,7.3061303248466931e-14,2.2457396913079269e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,35,0,12,0
36,29,1,1,1.6756700448205342e-09,1.0508169735643178e-09,2.2457396913079269e-11,1.6426225357160863e-11,7.3244578160118741e-14,7.3344334112040951e-14,2.2457396913079269e-11,1.6426225357160863e-11,1,none,38,39,1.5543122344752192e-14,1.6653345369377348e-14,1,36,1.6426225357160863e-11,7.3061303248466931e-14,1.6426225357160863e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,36,0,12,0
37,29,1,1,1.0167678867471636e-09,6.8838112336590336e-10,1.6426225357160863e-11,1.0206863636613058e-11,7.3344334112040951e-14,7.3807910291349835e-14,1.6426225357160863e-11,1.0206863636613058e-11,1,none,39,40,1.6653345369377348e-14,1.532107773982716e-14,1,37,1.0206863636613058e-11,7.3061303248466931e-14,1.0206863636613058e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,37,0,12,0
38,29,1,1,7.0073570200793449e-10,4.4750272778944146e-10,1.0206863636613058e-11,6.7116140881706087e-12,7.3807910291349835e-14,7.3755930892506468e-14,1.0206863636613058e-11,6.7116140881706087e-12,1,none,40,41,1.532107773982716e-14,1.532107773982716e-14,1,38,6.7116140881706087e-12,7.3061303248466931e-14,6.7116140881706087e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,38,0,12,0
39,29,1,1,4.2613094486686815e-10,2.6962794833466286e-10,6.7116140881706087e-12,3.97766808364928e-12,7.3755930892506468e-14,7.3759644385432321e-14,6.7116140881706087e-12,3.97766808364928e-12,1,none,41,42,1.532107773982716e-14,1.532107773982716e-14,1,39,3.97766808364928e-12,7.3061303248466931e-14,3.97766808364928e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,39,0,12,0
40,29,1,1,2.0360212698772187e-10,1.4564366468328406e-10,3.97766808364928e-12,2.2978936324695472e-12,7.3759644385432321e-14,7.3740507180263211e-14,3.97766808364928e-12,2.2978936324695472e-12,1,none,42,43,1.532107773982716e-14,1.6653345369377348e-14,1,40,2.2978936324695472e-12,7.3061303248466931e-14,2.2978936324695472e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,40,0,12,0
41,29,1,1,1.139479454375067e-10,9.0989865915764567e-11,2.2978936324695472e-12,1.5699983572071855e-12,7.3740507180263211e-14,7.4211976183658031e-14,2.2978936324695472e-12,1.5699983572071855e-12,1,none,43,44,1.6653345369377348e-14,1.4432899320127035e-14,1,41,1.5699983572071855e-12,7.3061303248466931e-14,1.5699983572071855e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,41,0,12,0
42,29,1,1,9.1810934838443414e-11,7.479993640860351e-11,1.5699983572071855e-12,1.2137364597143928e-12,7.4211976183658031e-14,7.2519654351975879e-14,1.5699983572071855e-12,1.2137364597143928e-12,1,none,44,45,1.4432899320127035e-14,1.6653345369377348e-14,1,42,1.2137364597143928e-12,7.2519654351975879e-14,1.2137364597143928e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,42,0,12,0
43,29,0,2,1.092506546649542e-10,7.7441031762961709e-11,1.2137364597143928e-12,1.3268419106195163e-12,7.2519654351975879e-14,7.2414920678679026e-14,1.2137364597143928e-12,1.3268419106195163e-12,0,not_improved,45,45,1.6653345369377348e-14,1.5765166949677223e-14,0,42,1.2137364597143928e-12,7.2414920678679026e-14,1.2137364597143928e-12,1,0,0,1,not_improved,4,1,2.9999999999999999e-07,42,1,12,0
