davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation
1,29,0.00078751732248517957,6.7530918795400289e-05,1,35,6.7530918795400289e-05,29,4.4676704285286119e-11,6.7530918795400289e-05,1.3988810110276972e-14,0,1,1,6.7530918795400289e-05,4.4676704285286119e-11,6.7530918795400289e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0
1,28,2.8202972934515202e-10,4.4676704285286119e-11,1,35,6.7530918795400289e-05,29,4.4676704285286119e-11,6.7530918795400289e-05,1.3988810110276972e-14,0,1,1,6.7530918795400289e-05,4.4676704285286119e-11,6.7530918795400289e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,1,0,12,0
2,29,6.7530918795400289e-05,2.8702854963585321e-05,1,37,2.8702854963585321e-05,29,2.913271559353805e-11,2.8702854963585321e-05,9.5479180117763462e-15,0,1,2,2.8702854963585321e-05,2.913271559353805e-11,2.8702854963585321e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0
2,28,4.4676704285286119e-11,2.913271559353805e-11,1,37,2.8702854963585321e-05,29,2.913271559353805e-11,2.8702854963585321e-05,9.5479180117763462e-15,0,1,2,2.8702854963585321e-05,2.913271559353805e-11,2.8702854963585321e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,2,0,12,0
3,29,2.8702854963585321e-05,1.8179997505414982e-05,1,39,1.8179997505414982e-05,29,2.6626436486553944e-11,1.8179997505414982e-05,1.5876189252139739e-14,0,1,3,1.8179997505414982e-05,2.6626436486553944e-11,1.8179997505414982e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0
3,28,2.913271559353805e-11,2.6626436486553944e-11,1,39,1.8179997505414982e-05,29,2.6626436486553944e-11,1.8179997505414982e-05,1.5876189252139739e-14,0,1,3,1.8179997505414982e-05,2.6626436486553944e-11,1.8179997505414982e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,3,0,12,0
4,29,1.8179997505414982e-05,1.5120302906500373e-05,1,41,1.5120302906500373e-05,29,9.4268466220182672e-12,1.5120302906500373e-05,1.2656542480726785e-14,0,1,4,1.5120302906500373e-05,9.4268466220182672e-12,1.5120302906500373e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0
4,28,2.6626436486553944e-11,9.4268466220182672e-12,1,41,1.5120302906500373e-05,29,9.4268466220182672e-12,1.5120302906500373e-05,1.2656542480726785e-14,0,1,4,1.5120302906500373e-05,9.4268466220182672e-12,1.5120302906500373e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,4,0,12,0
5,29,1.5120302906500373e-05,1.0621360434795165e-05,1,43,1.0621360434795165e-05,29,5.9177928511925307e-12,1.0621360434795165e-05,1.2212453270876722e-14,0,1,5,1.0621360434795165e-05,5.9177928511925307e-12,1.0621360434795165e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0
5,28,9.4268466220182672e-12,5.9177928511925307e-12,1,43,1.0621360434795165e-05,29,5.9177928511925307e-12,1.0621360434795165e-05,1.2212453270876722e-14,0,1,5,1.0621360434795165e-05,5.9177928511925307e-12,1.0621360434795165e-05,1,1,1,1,global_ok+active_ok,0,1,3e-09,5,0,12,0
