davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.00078751732248517957,1,0,0,0,0,0,0.039999891549879409,0.039681577960170272
1,28,2.8202972934515202e-10,1,0,0,0,0,0,1.4162417652684485e-08,1.153883714932228e-08
2,29,6.7530918795400289e-05,1,0,0,0,0,0,0.0047153778951657078,0.0044806584895757482
2,28,4.4676704285286119e-11,1,0,0,0,0,0,1.8157067418884662e-09,1.5755503273237428e-09
3,29,2.8702854963585321e-05,1,0,0,0,0,0,0.0026106094807930844,0.0016363138660910523
3,28,2.913271559353805e-11,1,0,0,0,0,0,3.1270607554092301e-09,2.1213617238106035e-09
4,29,1.8179997505414982e-05,1,0,0,0,0,0,0.00095598495775494447,0.0007807120870141135
4,28,2.6626436486553944e-11,1,0,0,0,0,0,9.5635464271579184e-10,6.5755504278357762e-10
5,29,1.5120302906500373e-05,1,0,0,0,0,0,0.00083009836017104103,0.00065082350980809485
5,28,9.4268466220182672e-12,1,0,0,0,0,0,5.359935873374607e-10,3.8496017587945397e-10
6,29,1.0621360434795165e-05,1,0,0,0,0,0,0.00081383822305069022,0.00056157170798910654
6,28,5.9177928511925307e-12,1,0,0,0,0,0,3.6015360599051779e-10,2.1786034400591409e-10
7,29,8.1826692209108859e-06,1,0,0,0,0,0,0.00045012172129699701,0.00032800701333568516
7,28,5.2157738535426804e-12,1,0,0,0,0,0,4.2087725481544698e-10,2.7238672506941655e-10
8,29,4.3263752459050959e-06,1,0,0,0,0,0,0.0002301724813760352,0.0001557113864427589
8,28,4.8114095082649206e-12,1,0,0,0,0,0,3.1354750892351526e-10,1.9635756082904611e-10
9,29,2.1081177901863792e-06,1,0,0,0,0,0,9.4070720277045729e-05,7.5735958367667092e-05
9,28,4.197738773186417e-12,1,0,0,0,0,0,2.7452123314006952e-10,1.5455001195629341e-10
10,29,1.1787170032543538e-06,1,0,0,0,0,0,4.49799160141302e-05,3.9318811262841083e-05
10,28,3.8009315055340569e-12,1,0,0,0,0,0,1.6435188826093121e-10,1.2485961507487012e-10
11,29,7.111058929487967e-07,1,0,0,0,0,0,2.5609743311405382e-05,2.3900155403048067e-05
11,28,3.0538231372824093e-12,1,0,0,0,0,0,1.2644092128319251e-10,9.8854317650104835e-11
12,29,4.2268734810374147e-07,1,0,0,0,0,0,1.7212661827075698e-05,1.5350364969554165e-05
12,28,1.6656524105537008e-12,1,0,0,0,0,0,1.2094243786403691e-10,1.0138161312413286e-10
13,29,2.7920928584751361e-07,1,0,0,0,0,0,1.4277138896301828e-05,1.2541315126394489e-05
13,28,1.5173281920995311e-12,1,0,0,0,0,0,6.3357705857589324e-11,5.5167526355518675e-11
14,29,1.7185964365730057e-07,1,0,0,0,0,0,1.3502465955339517e-05,9.5657908159852478e-06
