method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,0,-40.19077625260072,4.5600216809866597e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,1,-39.587783846039812,3.4786633315467574e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,2,-39.530151400183101,3.4283073566003511e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,3,-39.530151400183072,1.9243420433054188e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,4,-39.530151400183058,5.3105649785853706e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,5,-39.412585414388609,7.743293804251018e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,6,-39.412585414388573,8.9167758141902041e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,7,-39.40252430752777,2.6892160778069858e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,8,-39.402524307527742,7.1156082438708983e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,9,-39.402524307527734,9.2140713679173788e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,10,-39.376663783891722,3.9619093807753201e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,11,-39.376663783891672,6.1788342613568051e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,12,-39.376663783891381,2.3302368845812632e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,13,-39.367701470295479,5.8405289669212008e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,14,-39.367701470295408,8.1957941424626707e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,15,-39.364323150450119,1.565020864935143e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,16,-39.364323150450005,2.2765860138064944e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,17,-39.364323150449948,2.8273038246632289e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,18,-39.312786707793308,2.5042304066203484e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,19,-39.312786707793272,2.4768320127227759e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,20,-39.312786707793201,2.3730936697276425e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,21,-39.290219883813442,4.9963212930126e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,22,-39.290219883813137,3.1977808471950826e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,23,-39.290219883813037,5.3150595207780143e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,24,-39.176458439526193,7.7934895773313553e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,25,-39.059902131173587,9.065309661936294e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,26,-39.059902131173466,3.2374169691132985e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,27,-39.059902131173374,4.7294669857757383e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,28,-39.023899884567214,7.2519654351975879e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,29,-39.013014208760978,1.2137364597143928e-12
