method,repeat,time_sec,iterations,matvecs,eigenvalue,relative_residual,status,error,tol,maxiter
PRIMME_DYNAMIC,1,1.2886868820060045,49,98,-40.190776252600621,1.0286137863631295e-12,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,1,0.058622859999999999,45,46,-40.19077625260087,1.6405505087342494e-14,0,,9.9999999999999998e-13,1000
PRIMME_DYNAMIC,2,1.2822527210228145,49,98,-40.190776252600621,1.0286137863631295e-12,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,2,0.018588779,45,46,-40.19077625260087,1.6402523411990047e-14,0,,9.9999999999999998e-13,1000
PRIMME_DYNAMIC,3,1.3009095499292016,49,98,-40.190776252600621,1.0286137863631295e-12,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,3,0.018576696,45,46,-40.19077625260087,1.6446104536425371e-14,0,,9.9999999999999998e-13,1000
PRIMME_DYNAMIC,4,1.2798561679664999,49,98,-40.190776252600621,1.0286137863631295e-12,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,4,0.018480214000000002,45,46,-40.19077625260087,1.6447064317483736e-14,0,,9.9999999999999998e-13,1000
PRIMME_DYNAMIC,5,1.2783769390080124,49,98,-40.190776252600621,1.0286137863631295e-12,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,5,0.018500509999999998,45,46,-40.19077625260087,1.6403041704503654e-14,0,,9.9999999999999998e-13,1000
