method,repeat,k,time_sec,iterations,matvecs,first_eigenvalue,relative_residual,status,error,tol,maxiter
PRIMME_DYNAMIC,1,10,0.14870614488609135,485,998,-75.731617400685565,9.1742515004223154e-13,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,1,10,0.035289098000000005,100,1313,-75.731617400685735,2.3127850989084279e-15,0,,9.9999999999999998e-13,100
PRIMME_DYNAMIC,2,10,0.13673298712819815,644,978,-75.731617400685565,9.3378607114540293e-13,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,2,10,0.035200890999999998,100,1313,-75.731617400685778,2.2493805203198979e-15,0,,9.9999999999999998e-13,100
PRIMME_DYNAMIC,3,10,0.14389734296128154,762,981,-75.731617400685565,1.139895612038646e-12,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,3,10,0.035325591999999996,100,1313,-75.731617400685806,2.0171075708963012e-15,0,,9.9999999999999998e-13,100
PRIMME_DYNAMIC,4,10,0.14463426196016371,569,996,-75.731617400685565,9.3713306164664588e-13,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,4,10,0.035267984000000002,100,1313,-75.731617400685778,2.6399495107745643e-15,0,,9.9999999999999998e-13,100
PRIMME_DYNAMIC,5,10,0.14116282109171152,762,981,-75.731617400685565,1.139895612038646e-12,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,5,10,0.035216567999999997,100,1313,-75.731617400685749,2.4489022922507306e-15,0,,9.9999999999999998e-13,100
