molecule,k,method,avg_solve_time_sec,avg_api_total_time_sec,speedup_vs_primme_solve,avg_iterations,avg_matvecs,last_first_eigenvalue,last_max_relative_residual,last_fixed_point_residual,eigenvalue_abs_residual,status,tol,residual_le_tol
H2O,1,PRIMME_DYNAMIC,0.026762594189494848,nan,1.0,88.4,108.8,-75.73161740068582,9.128998115070155e-13,nan,0.0,0,1e-12,1
H2O,1,IPT_CUDA_SPARSE,0.0143746032,nan,1.8617970748225485,100.0,101.0,-75.7316174006857,9.239170210654815e-16,nan,nan,0,1e-12,1
H2O,10,PRIMME_DYNAMIC,0.14302671160548924,nan,1.0,644.4,986.8,-75.73161740068556,1.139895612038646e-12,nan,0.0,0,1e-12,0
H2O,10,IPT_CUDA_SPARSE,0.0352600266,nan,4.056341568542357,100.0,1313.0,-75.73161740068575,2.4489022922507306e-15,nan,nan,0,1e-12,1
NH3,1,PRIMME_CUBLAS,0.060024180868640545,0.06199777089059353,1.0,65.0,110.0,-56.05451687036076,8.522550864127176e-13,nan,0.0,0,1e-12,1
NH3,1,IPT_CUDA_BLOCK_CLUSTER,0.0224411362,0.3347318374086171,2.6747389407422495,100.0,101.0,-56.05451687036075,1.621353568604284e-16,1.6102665463803315e-15,7.105427357601002e-15,0,1e-12,1
NH3,10,PRIMME_CUBLAS,0.6270513663068413,0.628648902848363,1.0,767.8,1146.8,-56.05451687036075,9.460985672217591e-13,nan,0.0,0,1e-12,1
NH3,10,IPT_CUDA_BLOCK_CLUSTER,0.07749519400000002,0.3935582997277379,8.091487148310657,100.0,1919.0,-56.054516870360814,2.731511810526588e-14,1.1796087214314024,6.394884621840902e-14,0,1e-12,1
CH4,1,PRIMME_CUBLAS,0.052635271474719046,0.0637640580534935,1.0,49.0,99.0,-40.190776252600685,9.60213766614141e-13,nan,0.0,0,1e-12,1
CH4,1,IPT_CUDA_BLOCK_CLUSTER,0.051052538800000005,6.455862584151328,1.0310020365670638,100.0,101.0,-40.19077625260057,5.863841780302039e-16,1.3187230646901523e-15,1.1368683772161603e-13,0,1e-12,1
CH4,10,PRIMME_CUBLAS,0.9353489997796715,0.9464298808015883,1.0,724.2,1882.8,-40.19077625260067,9.997062310908498e-13,nan,0.0,0,1e-12,1
CH4,10,IPT_CUDA_BLOCK_CLUSTER,0.4933589264,6.891495077684522,1.895879348134708,100.0,2525.0,-40.19077625260086,4.618015378359485e-15,1.6174070236099956e-06,1.9184653865522705e-13,0,1e-12,1
