method,repeat,time_sec,iterations,matvecs,eigenvalue,relative_residual,status,error,tol,maxiter
PRIMME_DYNAMIC,1,0.005820919293910265,6,10,-75.679997365383059,3.0212258967948354e-16,0,,9.9999999999999998e-13,1000
IPT_CUDA_SPARSE,1,0.0014945352450013161,8,8,-75.679997365383073,8.7234457138944729e-16,0,,9.9999999999999998e-13,1000
PRIMME_DYNAMIC,2,0.00030511105433106422,6,10,-75.679997365383059,3.0212258967948354e-16,0,,9.9999999999999998e-13,1000
IPT_CUDA_SPARSE,2,0.0014218180440366268,8,8,-75.679997365383073,8.7234457138944729e-16,0,,9.9999999999999998e-13,1000
PRIMME_DYNAMIC,3,0.00026124622672796249,6,10,-75.679997365383059,3.0212258967948354e-16,0,,9.9999999999999998e-13,1000
IPT_CUDA_SPARSE,3,0.0014082090929150581,8,8,-75.679997365383073,8.7234457138944729e-16,0,,9.9999999999999998e-13,1000
PRIMME_DYNAMIC,4,0.00027040299028158188,6,10,-75.679997365383059,3.0212258967948354e-16,0,,9.9999999999999998e-13,1000
IPT_CUDA_SPARSE,4,0.0013988809660077095,8,8,-75.679997365383073,8.7234457138944729e-16,0,,9.9999999999999998e-13,1000
PRIMME_DYNAMIC,5,0.00025545526295900345,6,10,-75.679997365383059,3.0212258967948354e-16,0,,9.9999999999999998e-13,1000
IPT_CUDA_SPARSE,5,0.0013918676413595676,8,8,-75.679997365383073,8.7234457138944729e-16,0,,9.9999999999999998e-13,1000
