rank,cluster_first,cluster_last,block_cluster_eigenvalue,exact_eigenvalue,abs_error,relative_residual
0,0,0,-75.731617400685764,-75.731617400685778,1.4210854715202004e-14,9.0289024000466667e-15
1,1,12,-75.347492475994272,-75.347492475994287,1.4210854715202004e-14,1.4040009137764179e-16
2,1,12,-75.28883596807357,-75.288835968073599,2.8421709430404007e-14,2.3218246394323706e-16
3,1,12,-75.246847868134083,-75.246847868134182,9.9475983006414026e-14,1.4770821020732532e-15
4,1,12,-75.244426755592201,-75.24442675559213,7.1054273576010019e-14,1.5973559288164636e-15
5,1,12,-75.210057383519015,-75.2100573835191,8.5265128291212022e-14,1.165811331901623e-15
6,1,12,-75.170800457681878,-75.170800457681906,2.8421709430404007e-14,6.4020893136212435e-16
7,1,12,-75.145332322791106,-75.145332322791063,4.2632564145606011e-14,1.7359935041565197e-15
8,1,12,-75.065418449366774,-75.065418449366803,2.8421709430404007e-14,3.7028053134174583e-16
9,1,12,-75.05294636282575,-75.052946362825779,2.8421709430404007e-14,5.40920793799104e-16
