davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted
1,29,0.0017730420517231939,0.00014540735873043141,1,35,0.00014540735873043141,29,7.9476913673281503e-11,0.00014540735873043141,1.3766765505351941e-14,0
1,28,3.7387308706738513e-10,7.9476913673281503e-11,1,35,0.00014540735873043141,29,7.9476913673281503e-11,0.00014540735873043141,1.3766765505351941e-14,0
2,29,0.00014540735873043141,5.8486708213535013e-05,1,37,5.8486708213535013e-05,29,4.4094555315269446e-11,5.8486708213535013e-05,1.4654943925052066e-14,0
2,28,7.9476913673281503e-11,4.4094555315269446e-11,1,37,5.8486708213535013e-05,29,4.4094555315269446e-11,5.8486708213535013e-05,1.4654943925052066e-14,0
3,29,5.8486708213535013e-05,4.9677231777310539e-05,1,39,4.9677231777310539e-05,29,6.6243775016709885e-11,4.9677231777310539e-05,1.7319479184152442e-14,0
3,28,4.4094555315269446e-11,6.6243775016709885e-11,1,39,4.9677231777310539e-05,29,6.6243775016709885e-11,4.9677231777310539e-05,1.7319479184152442e-14,0
4,29,4.9677231777310539e-05,5.5118061509201612e-05,0,39,4.9677231777310539e-05,29,6.6243775016709885e-11,4.9677231777310539e-05,1.7319479184152442e-14,0
4,28,6.6243775016709885e-11,6.2020922327298177e-11,0,39,4.9677231777310539e-05,29,6.6243775016709885e-11,4.9677231777310539e-05,1.7319479184152442e-14,0
31,28,6.6243775016709885e-11,6.2022105254105079e-11,0,39,4.9677231777310539e-05,29,6.6243775016709885e-11,4.9677231777310539e-05,1.7319479184152442e-14,0
31,29,4.9677231777310539e-05,5.5118061509236171e-05,0,39,4.9677231777310539e-05,29,6.6243775016709885e-11,4.9677231777310539e-05,1.7319479184152442e-14,0
