method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,0,-40.190776252600706,6.939792958232023e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,1,-39.58778384603977,4.1307841337472562e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,2,-39.530151400183037,1.4822384412670987e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,3,-39.530151400183016,1.4703687939967895e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,4,-39.530151400183009,1.615034680980687e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,5,-39.412585414388602,2.0150093957784614e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,6,-39.412585414388538,1.8221446298321145e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,7,-39.402524307527784,8.6826067853354338e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,8,-39.402524307527734,1.3535488644927037e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,9,-39.402524307527713,1.4595704910914231e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,10,-39.376663783891694,1.428642158386697e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,11,-39.376663783891679,1.8132244086248918e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,12,-39.376663783891658,9.6006913923669929e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,13,-39.367701470295479,1.7396359762063843e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,14,-39.367701470295444,2.1720068872988943e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,15,-39.364323150450055,1.2063009749974904e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,16,-39.364323150450041,1.1615640214196146e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,17,-39.364323150450033,1.1994792777726523e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,18,-39.312786707793258,8.4247778505481463e-15
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,19,-39.312786707793258,1.0627304573043278e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,20,-39.312786707793244,1.2597447718512267e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,21,-39.290219883813172,1.6461291996582835e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,22,-39.290219883813165,1.17383224498836e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,23,-39.290219883813151,1.4349022057664899e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,24,-39.176458439526051,4.9527014054227535e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,25,-39.059902131173594,6.0176541031931335e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,26,-39.059902131173459,7.0049246438550584e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,27,-39.059902131173459,6.7946246006329994e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,28,-39.023899884567129,6.6243775016709885e-11
IPT_CUDA_BLOCK_CLUSTER,1,30,39,30,29,-39.01299758203163,4.9677231777310539e-05
