davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.00062210733923170121,1,0,0,0,0,0,0.033043888903624315,0.032806053263836718
1,28,3.9361660015568806e-12,1,0,0,0,0,0,2.1868636654516045e-10,1.0262706551007282e-10
2,29,1.8270880989066702e-05,1,0,0,0,0,0,0.0029584950120239875,0.0017384224885515121
2,28,8.3254315014816833e-13,1,0,0,0,0,0,4.6333976644436897e-11,3.943297678686198e-11
3,29,6.8966721023411241e-06,1,0,0,0,0,0,0.00035788682910270687,0.00024277459584086367
3,28,9.6838643988440006e-13,1,0,0,0,0,0,9.4403914433647332e-11,6.6235005604283989e-11
4,29,2.9553732032630258e-06,1,0,0,0,0,0,0.000166806402893358,0.00011569919962842884
4,28,5.4331367944267371e-13,1,0,0,0,0,0,3.3964525387151882e-11,1.8910407544480524e-11
5,29,1.3709094268813676e-06,1,0,0,0,0,0,8.4259203473234173e-05,6.1976679311774046e-05
5,28,2.7950701055846052e-13,1,0,0,0,0,0,1.4265350535353666e-11,1.0292022857586599e-11
6,29,7.0414560498692468e-07,1,0,0,0,0,0,3.3007183000657038e-05,2.4623190221099077e-05
6,28,2.4526720178189146e-13,1,0,0,0,0,0,1.0417039801568837e-11,8.7771631796403693e-12
7,29,3.6647784415648886e-07,1,0,0,0,0,0,1.7953744114997849e-05,1.3721843413605664e-05
7,28,2.5797899343409082e-13,1,0,0,0,0,0,1.1328400756872437e-11,7.375260660680967e-12
8,29,1.9365208652842041e-07,1,0,0,0,0,0,1.4421001921448609e-05,9.3673501224334416e-06
8,28,1.6457436008231237e-13,1,0,0,0,0,0,1.0122199013681334e-11,5.4070148390824724e-12
9,29,1.1691592018209193e-07,1,0,0,0,0,0,8.6724000253627636e-06,5.1295536325010127e-06
9,28,9.8668525606737842e-14,0,0,1,0,0,0,0,0
9,27,2.4552789785363591e-14,0,0,1,0,0,0,0,0
9,25,1.8738824460204155e-14,0,0,1,0,0,0,0,0
9,26,1.8533353416393722e-14,0,0,1,0,0,0,0,0
9,24,5.5160546365325841e-15,0,0,1,0,0,0,0,0
9,2,4.7858754385073762e-15,0,0,1,0,0,0,0,0
9,16,4.5875716383091944e-15,0,0,1,0,0,0,0,0
9,15,4.3041830051598657e-15,0,0,1,0,0,0,0,0
9,4,4.045637921239491e-15,0,0,1,0,0,0,0,0
9,17,3.9559819822910963e-15,0,0,1,0,0,0,0,0
9,5,3.3693887369563722e-15,0,0,1,0,0,0,0,0
9,1,3.2646716233271336e-15,0,0,1,0,0,0,0,0
9,3,3.262337441113781e-15,0,0,1,0,0,0,0,0
9,8,3.185915930609314e-15,0,0,1,0,0,0,0,0
9,18,3.1599633551548893e-15,0,0,1,0,0,0,0,0
9,19,3.0268825533869525e-15,0,0,1,0,0,0,0,0
9,13,2.8913497393239083e-15,0,0,1,0,0,0,0,0
9,9,2.7673670240942469e-15,0,0,1,0,0,0,0,0
9,7,2.7655644269546296e-15,0,0,1,0,0,0,0,0
9,23,2.6864507053627679e-15,0,0,1,0,0,0,0,0
9,14,2.6239039640592419e-15,0,0,1,0,0,0,0,0
9,22,2.5848544167906462e-15,0,0,1,0,0,0,0,0
9,6,2.529522257690779e-15,0,0,1,0,0,0,0,0
9,12,2.489312985900417e-15,0,0,1,0,0,0,0,0
9,21,2.4874193578462119e-15,0,0,1,0,0,0,0,0
