davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted
1,29,0.00060572796754697106,5.494794595448613e-05,1,35,5.494794595448613e-05,29,2.4200800151567015e-11,5.494794595448613e-05,1.5099033134902129e-14,0
1,28,2.3751121304936085e-10,2.4200800151567015e-11,1,35,5.494794595448613e-05,29,2.4200800151567015e-11,5.494794595448613e-05,1.5099033134902129e-14,0
2,29,5.494794595448613e-05,2.9202300731634784e-05,1,37,2.9202300731634784e-05,29,1.1492656138680948e-11,2.9202300731634784e-05,1.3766765505351941e-14,0
2,28,2.4200800151567015e-11,1.1492656138680948e-11,1,37,2.9202300731634784e-05,29,1.1492656138680948e-11,2.9202300731634784e-05,1.3766765505351941e-14,0
3,29,2.9202300731634784e-05,2.8782139246117166e-05,1,39,2.8782139246117166e-05,29,1.0145878537384099e-11,2.8782139246117166e-05,1.5987211554602254e-14,0
3,28,1.1492656138680948e-11,1.0145878537384099e-11,1,39,2.8782139246117166e-05,29,1.0145878537384099e-11,2.8782139246117166e-05,1.5987211554602254e-14,0
4,29,2.8782139246117166e-05,2.1464424310296147e-05,1,41,2.1464424310296147e-05,29,1.0178272432911425e-11,2.1464424310296147e-05,1.5987211554602254e-14,0
4,28,1.0145878537384099e-11,1.0178272432911425e-11,1,41,2.1464424310296147e-05,29,1.0178272432911425e-11,2.1464424310296147e-05,1.5987211554602254e-14,0
5,29,2.1464424310296147e-05,1.1135934543214548e-05,1,43,1.1135934543214548e-05,29,8.1340267792599826e-12,1.1135934543214548e-05,1.5099033134902129e-14,0
5,28,1.0178272432911425e-11,8.1340267792599826e-12,1,43,1.1135934543214548e-05,29,8.1340267792599826e-12,1.1135934543214548e-05,1.5099033134902129e-14,0
6,29,1.1135934543214548e-05,5.2068479138046291e-06,1,45,5.2068479138046291e-06,29,5.7086159790575766e-12,5.2068479138046291e-06,1.2656542480726785e-14,0
6,28,8.1340267792599826e-12,5.7086159790575766e-12,1,45,5.2068479138046291e-06,29,5.7086159790575766e-12,5.2068479138046291e-06,1.2656542480726785e-14,0
7,29,5.2068479138046291e-06,2.7735936865817132e-06,1,47,2.7735936865817132e-06,29,4.2376265323623465e-12,2.7735936865817132e-06,1.4432899320127035e-14,0
7,28,5.7086159790575766e-12,4.2376265323623465e-12,1,47,2.7735936865817132e-06,29,4.2376265323623465e-12,2.7735936865817132e-06,1.4432899320127035e-14,0
8,29,2.7735936865817132e-06,1.8794033976046976e-06,1,49,1.8794033976046976e-06,29,2.7254444554512534e-12,1.8794033976046976e-06,1.4654943925052066e-14,0
8,28,4.2376265323623465e-12,2.7254444554512534e-12,1,49,1.8794033976046976e-06,29,2.7254444554512534e-12,1.8794033976046976e-06,1.4654943925052066e-14,0
9,29,1.8794033976046976e-06,1.5333780667863819e-06,1,51,1.5333780667863819e-06,29,1.9868604785362397e-12,1.5333780667863819e-06,1.5765166949677223e-14,0
9,28,2.7254444554512534e-12,1.9868604785362397e-12,1,51,1.5333780667863819e-06,29,1.9868604785362397e-12,1.5333780667863819e-06,1.5765166949677223e-14,0
10,29,1.5333780667863819e-06,1.0834442383863582e-06,1,35,1.0834442383863582e-06,29,1.4465320783773535e-12,1.0834442383863582e-06,1.7097434579227411e-14,1
10,28,1.9868604785362397e-12,1.4465320783773535e-12,1,35,1.0834442383863582e-06,29,1.4465320783773535e-12,1.0834442383863582e-06,1.7097434579227411e-14,1
11,29,1.0834442383863582e-06,5.1733754209217723e-07,1,37,5.1733754209217723e-07,29,9.552984390816918e-13,5.1733754209217723e-07,1.4876988529977098e-14,0
11,28,1.4465320783773535e-12,9.552984390816918e-13,1,37,5.1733754209217723e-07,29,9.552984390816918e-13,5.1733754209217723e-07,1.4876988529977098e-14,0
12,29,5.1733754209217723e-07,3.3010510181622964e-07,1,39,3.3010510181622964e-07,29,9.4012694758530935e-13,3.3010510181622964e-07,1.5432100042289676e-14,0
12,28,9.552984390816918e-13,9.4012694758530935e-13,1,39,3.3010510181622964e-07,29,9.4012694758530935e-13,3.3010510181622964e-07,1.5432100042289676e-14,0
13,29,3.3010510181622964e-07,2.2953099106380693e-07,1,41,2.2953099106380693e-07,29,6.59849225362157e-13,2.2953099106380693e-07,1.9095836023552692e-14,0
13,28,9.4012694758530935e-13,6.59849225362157e-13,1,41,2.2953099106380693e-07,29,6.59849225362157e-13,2.2953099106380693e-07,1.9095836023552692e-14,0
14,29,2.2953099106380693e-07,1.5461701493799675e-07,1,43,1.5461701493799675e-07,29,4.3243299958333131e-13,1.5461701493799675e-07,1.8207657603852567e-14,0
14,28,6.59849225362157e-13,4.3243299958333131e-13,1,43,1.5461701493799675e-07,29,4.3243299958333131e-13,1.5461701493799675e-07,1.8207657603852567e-14,0
15,29,1.5461701493799675e-07,1.0956275866883833e-07,1,45,1.0956275866883833e-07,29,4.3058249078414507e-13,1.0956275866883833e-07,1.4432899320127035e-14,0
15,25,5.349203717914363e-13,1.7642192778563678e-13,1,45,1.0956275866883833e-07,29,4.3058249078414507e-13,1.0956275866883833e-07,1.4432899320127035e-14,0
16,29,1.0956275866883833e-07,6.8941402184804097e-08,1,47,6.8941402184804097e-08,29,3.0915196510298348e-13,6.8941402184804097e-08,1.3655743202889425e-14,0
16,28,4.3058249078414507e-13,3.0915196510298348e-13,1,47,6.8941402184804097e-08,29,3.0915196510298348e-13,6.8941402184804097e-08,1.3655743202889425e-14,0
17,29,6.8941402184804097e-08,4.5118480524856503e-08,1,49,4.5118480524856503e-08,29,2.6433397959299741e-13,4.5118480524856503e-08,1.532107773982716e-14,0
17,28,3.0915196510298348e-13,2.6433397959299741e-13,1,49,4.5118480524856503e-08,29,2.6433397959299741e-13,4.5118480524856503e-08,1.532107773982716e-14,0
18,29,4.5118480524856503e-08,2.981706198699389e-08,1,51,2.981706198699389e-08,29,1.5998454649137511e-13,2.981706198699389e-08,1.6875389974302379e-14,0
18,28,2.6433397959299741e-13,1.5998454649137511e-13,1,51,2.981706198699389e-08,29,1.5998454649137511e-13,2.981706198699389e-08,1.6875389974302379e-14,0
19,29,2.981706198699389e-08,1.6069216904814308e-08,1,53,1.6069216904814308e-08,29,1.308084875289275e-13,1.6069216904814308e-08,1.6653345369377348e-14,0
19,25,1.6991404927514966e-13,4.8591416436468764e-14,1,53,1.6069216904814308e-08,29,1.308084875289275e-13,1.6069216904814308e-08,1.6653345369377348e-14,0
20,29,1.6069216904814308e-08,8.9186793490464029e-09,1,35,8.9186793490464029e-09,29,1.2393432848637671e-13,8.9186793490464029e-09,1.7763568394002505e-14,1
20,24,1.4487354134834374e-13,4.3192289105371958e-14,1,35,8.9186793490464029e-09,29,1.2393432848637671e-13,8.9186793490464029e-09,1.7763568394002505e-14,1
21,29,8.9186793490464029e-09,5.5859527596359686e-09,1,37,5.5859527596359686e-09,29,8.2722859957499307e-14,5.5859527596359686e-09,1.5987211554602254e-14,0
21,28,1.2393432848637671e-13,8.2722859957499307e-14,1,37,5.5859527596359686e-09,29,8.2722859957499307e-14,5.5859527596359686e-09,1.5987211554602254e-14,0
22,29,5.5859527596359686e-09,3.3956765306290358e-09,1,38,3.3956765306290358e-09,29,8.1958620862743732e-14,3.3956765306290358e-09,1.5654144647214707e-14,0
23,29,3.3956765306290358e-09,2.1291934208111413e-09,1,39,2.1291934208111413e-09,29,8.2289637945613731e-14,2.1291934208111413e-09,1.8540724511240114e-14,0
24,29,2.1291934208111413e-09,1.5610220311455877e-09,1,40,1.5610220311455877e-09,29,8.3689946991444391e-14,1.5610220311455877e-09,1.7319479184152442e-14,0
25,29,1.5610220311455877e-09,1.2317902064049219e-09,1,41,1.2317902064049219e-09,29,8.628133800856285e-14,1.2317902064049219e-09,1.6209256159527285e-14,0
