repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600728,4.0542978174581778e-13,1.0000000000000002
1,1,-39.587783846039791,1.9775739236361757e-13,0.999999999999999
1,2,-39.530151400183065,1.8816964337813381e-13,1.0000000000000022
1,3,-39.530151400183065,3.0701933609832898e-13,1.0000000000000031
1,4,-39.53015140018303,2.704480867598413e-13,0.999999999999995
1,5,-39.412585414388616,1.1006919764821359e-13,1.0000000000000038
1,6,-39.412585414388566,3.3308189480856749e-13,1.0000000000000027
1,7,-39.402524307527855,2.5349999209208047e-13,0.99999999999999878
1,8,-39.402524307527756,7.3884920244299059e-15,1.0000000000000033
1,9,-39.402524307527713,1.7913368709444425e-14,0.99999999999999711
1,10,-39.376663783891729,4.0222755888883222e-13,0.99999999999999756
1,11,-39.376663783891622,3.49179435498184e-13,0.99999999999999645
1,12,-39.376663783891601,2.7097684081097328e-13,1.0000000000000056
1,13,-39.367701470295501,2.2566612822212597e-13,0.99999999999999922
1,14,-39.367701470295437,1.6079916728927162e-13,0.99999999999999811
1,15,-39.364323150450076,2.5589949184835046e-13,1.0000000000000002
1,16,-39.364323150450026,4.1249642735563768e-13,0.99999999999999889
1,17,-39.364323150449984,1.9298943924192137e-13,1.0000000000000002
1,18,-39.312786707793379,2.9842290970789871e-13,1.0000000000000004
1,19,-39.312786707793201,2.077099148444128e-13,1.0000000000000029
1,20,-39.312786707793194,1.4592711940184712e-13,0.99999999999999933
1,21,-39.290219883813258,5.6517668939670933e-14,0.99999999999999922
1,22,-39.290219883813158,4.2771747854811884e-14,0.999999999999998
1,23,-39.290219883813045,2.5281798436303892e-13,1.0000000000000009
1,24,-39.17645843952603,3.7568147760999461e-13,1.0000000000000102
1,25,-39.059902131173502,1.4617003995205111e-13,0.99999999999999778
1,26,-39.05990213117343,1.8778301350157161e-13,1.0000000000000022
1,27,-39.05990213117343,1.8088997029415403e-13,1.0000000000000004
1,28,-39.023899884567093,2.6476250482096689e-13,1.0000000000000064
1,29,-39.013014208760993,3.0256578909622951e-13,0.99999999999999378
