davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.000704502745666441,1,0,0,0,0,0,0.037589139062647263,0.037307870250020123
1,28,1.093430840211046e-10,1,0,0,0,0,0,5.3355826908669449e-09,3.7027142583798091e-09
2,29,2.4026815543613541e-05,1,0,0,0,0,0,0.0030084373920001377,0.0020894572838256993
2,28,1.9574953277166432e-11,1,0,0,0,0,0,9.8734423108349995e-10,6.3758589643437842e-10
3,29,8.9686874686739588e-06,1,0,0,0,0,0,0.00053783119248152942,0.0003390837817853004
3,28,1.1100605846440912e-11,1,0,0,0,0,0,9.6220022197194791e-10,7.4689769559452422e-10
4,29,4.353555421199866e-06,1,0,0,0,0,0,0.00026020314026111812,0.00017458162206676747
4,28,1.620480308140308e-11,1,0,0,0,0,0,1.0179633747710595e-09,5.7572217740193183e-10
5,29,2.17359444991247e-06,1,0,0,0,0,0,0.00015566188851661187,0.00011029906997902534
5,28,1.670705752610533e-11,1,0,0,0,0,0,8.6292715316393581e-10,5.1032177241746086e-10
6,29,1.5127223991597728e-06,1,0,0,0,0,0,8.925647285296055e-05,6.0962159510989924e-05
6,28,1.1014054162085815e-11,1,0,0,0,0,0,4.9837432384121957e-10,3.3013595547956487e-10
7,29,1.0333764271079754e-06,1,0,0,0,0,0,6.2857399006563194e-05,4.3692045055964481e-05
7,28,5.2371120571873001e-12,1,0,0,0,0,0,2.4277757052319209e-10,1.7239508166531679e-10
8,29,6.8342081686403111e-07,1,0,0,0,0,0,2.9310931233126377e-05,2.4545313547430861e-05
8,28,4.1392338878006403e-12,1,0,0,0,0,0,2.7880080046042078e-10,1.8356407337740819e-10
9,29,5.2953107629781609e-07,1,0,0,0,0,0,1.9984082524118992e-05,1.7398309196648938e-05
9,28,2.5383751759724849e-12,1,0,0,0,0,0,1.8350452789681466e-10,1.0539050856739846e-10
10,29,4.7327521467655197e-07,1,0,0,0,0,0,1.8736517305400208e-05,1.4970100920726085e-05
10,28,1.4053285376813353e-12,1,0,0,0,0,0,8.4310572743198139e-11,5.2869916449554327e-11
11,29,3.9508321154923645e-07,1,0,0,0,0,0,1.4543516772842007e-05,1.2345539192644759e-05
11,28,1.0621871104344433e-12,1,0,0,0,0,0,4.1543354181161191e-11,3.2110692542169178e-11
12,29,1.9906775021518564e-07,1,0,0,0,0,0,9.7152266753186716e-06,8.4601184047036616e-06
12,28,5.9204051195421151e-13,1,0,0,0,0,0,2.5764617104780257e-11,1.826896106197791e-11
13,29,1.4261733325174772e-07,1,0,0,0,0,0,7.1001310476118124e-06,6.595733754642702e-06
13,27,5.8827739452180142e-13,1,0,0,0,0,0,1.9235852123348652e-11,1.8698944300109371e-11
14,29,1.3064812016666192e-07,1,0,0,0,0,0,7.471481963333943e-06,6.2404132660426736e-06
14,28,3.3563055955249928e-13,1,0,0,0,0,0,1.6490337701364719e-11,9.8259561536239462e-12
15,29,1.1570141002014577e-07,1,0,0,0,0,0,8.250488066087466e-06,5.6668734651791776e-06
15,26,2.437684778868144e-13,1,0,0,0,0,0,8.0851147509843615e-12,7.7374720968629193e-12
16,29,9.2171663677581976e-08,1,0,0,0,0,0,7.1172507050387787e-06,4.92041917872395e-06
16,28,2.2224979293984318e-13,1,0,0,0,0,0,1.4246680123910139e-11,9.4914945717210207e-12
17,29,5.8896692633816969e-08,1,0,0,0,0,0,4.1731225172360098e-06,2.7437968705137443e-06
17,28,1.6692162928447838e-13,1,0,0,0,0,0,1.2563568854668082e-11,5.8651367900286103e-12
18,29,3.8488442484330179e-08,1,0,0,0,0,0,2.6610645453440329e-06,1.7665190701760489e-06
18,25,1.5460661667071899e-13,1,0,0,0,0,0,5.3741975200903838e-12,5.1202385887314587e-12
19,29,3.27607528741693e-08,1,0,0,0,0,0,1.400734314186636e-06,1.1712312781179863e-06
19,24,1.1865263979776041e-13,1,0,0,0,0,0,4.2200271119142835e-12,3.5748606213892588e-12
20,29,2.3838614881285595e-08,1,0,0,0,0,0,9.2459386962314615e-07,8.1138606852722321e-07
20,1,1.1383170599948255e-13,1,0,0,0,0,0,2.6926288105470311e-12,2.6410863036887076e-12
21,29,1.6127257527565616e-08,1,0,0,0,0,0,6.5688624944267212e-07,5.4820904122896632e-07
21,27,1.0986021449813614e-13,1,0,0,0,0,0,3.7651264844643054e-12,3.4159109371881285e-12
22,29,8.6933199244305096e-09,1,0,0,0,0,0,5.3121125396975632e-07,4.1333263186675243e-07
