method,repeat,requested_k,basis_cols,returned_k,pair_index,lambda,relative_eigen_residual
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,0,-40.190776252600735,3.7223296896511871e-16
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,1,-39.587783846039748,2.3201184703671279e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,2,-39.530151400183065,4.0740785561938568e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,3,-39.530151400182994,3.4320620415782811e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,4,-39.530151400182987,2.9930329566483101e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,5,-39.412585414388744,6.8438957413388372e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,6,-39.412585414388623,4.1404747812311641e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,7,-39.402524307527791,3.138561680391865e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,8,-39.402524307527777,4.341077361459199e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,9,-39.402524307527749,3.4069769596790571e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,10,-39.376663783891708,3.9860544217136536e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,11,-39.376663783891672,2.4931937693258091e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,12,-39.376663783891637,3.627871522832943e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,13,-39.367701470295536,4.2973342937912068e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,14,-39.367701470295479,4.7495199961752905e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,15,-39.364323150450105,1.8290348385273927e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,16,-39.364323150450069,3.1588333577777938e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,17,-39.364323150450069,3.1630264731367589e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,18,-39.31278670779345,4.0459058322688833e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,19,-39.312786707793151,4.4782976294869978e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,20,-39.312786707793144,3.2344834058929341e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,21,-39.290219883813336,3.698770905024443e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,22,-39.290219883813222,4.7154534465176462e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,23,-39.290219883813158,3.6760331323742813e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,24,-39.176458439526151,3.2504059185473494e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,25,-39.059902131173558,5.5071641519779637e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,26,-39.059902131173502,4.3417006798110712e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,27,-39.059902131173374,3.7183532612132075e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,28,-39.023899884567214,8.9949252189028977e-14
IPT_CUDA_BLOCK_CLUSTER,1,30,45,30,29,-39.013014208761057,4.9137456346762827e-10
